ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,kadapa_l.png,vishakapatnam_west.png,kakinada.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tekkali.png
NmnvKDeYQ_A,2022-12-07,32.0,0.0,2224.0,-0.9990884065628052,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
-yHzjwyP0-g,2022-10-18,270.0,12.0,3673.0,-0.9937998652458192,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ZM3-sjt08Ao,2021-11-03,365.0,4.0,3640.0,0.9951784610748292,Sakshi,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
MvrDiHrzrgY,2023-01-11,115.0,12.0,14721.0,-0.9639008045196532,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
xdH2n_qP6XM,2021-02-18,172.0,0.0,1998.0,0.9985812902450562,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
_Ae5sZSWCCU,2022-11-13,960.0,20.0,7058.0,-0.9962185025215148,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
wTiCs3jayb4,2022-12-13,333.0,4.0,2567.0,-0.9901172518730164,Sakshi,Devineni Avinash,1,0,0,0,0,1,0,0,0,1,0,0,0
12pGaSYwq_Y,2022-11-26,162.0,4.0,1807.0,-0.9910507202148438,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
bHTlzcku7VE,2023-01-04,134.0,109.0,9312.0,0.9971755743026732,Sakshi,Devineni Avinash,0,0,0,0,0,1,0,0,0,0,0,0,0
AemDJklRqfA,2023-01-11,20201.0,2.0,25209.0,-0.99704509973526,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
6o4u0piftqM,2022-12-07,38.0,0.0,867.0,-0.998435914516449,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
y8DP-u7fcM8,2022-06-21,232.0,8.0,7648.0,-0.9952405691146852,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
f4PF8m6jjTQ,2022-11-30,228.0,2.0,16216.0,-0.9774641394615172,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
5vDCPSiBFbY,2023-02-24,96.0,15.0,6047.0,-0.9778854250907898,Sakshi,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
9BHDSK7fHy8,2023-01-24,189.0,19.0,14685.0,0.9860780239105223,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
DWz41gUTy3s,2022-09-06,80.0,1.0,2942.0,0.991381585597992,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Fd0mb73Q2Ug,2022-11-22,211.0,6.0,34382.0,-0.997994303703308,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
0OXVxwZqEMk,2023-01-24,150.0,0.0,3677.0,-0.9941831231117249,TV9,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
oOmDi8l_D7Q,2022-09-05,90.0,0.0,2114.0,0.9973599314689636,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
guQ9R3h8Oag,2022-04-09,310.0,53.0,16531.0,0.998461365699768,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
lWGSUlc8oFc,2022-12-06,151.0,3.0,7947.0,-0.9947245717048644,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,1,0,0
BKBpDmfH6QY,2023-04-19,125.0,3.0,3141.0,0.998740017414093,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
iahHK6_4874,2021-08-21,293.0,7.0,12339.0,-0.9861266016960144,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
o0q0cAap_oE,2023-01-07,131.0,9.0,12737.0,0.9965032339096068,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
g5ik19Cwk3g,2022-12-07,94.0,0.0,1930.0,0.9822706580162048,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
UXv8wQKQrww,2022-04-23,295.0,629.0,313351.0,-0.9983717799186708,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,Devineni Avinash,0,0,0,0,0,1,0,0,0,0,0,0,0
vKJQ8W8ijhM,2022-12-06,80.0,51.0,59585.0,-0.994652271270752,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
8Kai-jtcv4M,2022-09-01,80.0,0.0,2645.0,-0.9902271032333374,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
rPBNvWfnRRE,2023-03-25,194.0,9.0,12019.0,0.9984833598136902,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
7QIOpSWB7-4,2022-12-20,261.0,2.0,5218.0,-0.9736461639404296,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
hlaHRvi6FZM,2023-02-22,58.0,56.0,19871.0,-0.9988755583763124,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ASuCr2EAc5U,2022-11-05,65.0,0.0,961.0,-0.9974017143249512,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
AUvzv9vGNd0,2022-09-30,78.0,1.0,1003.0,0.998392641544342,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
heHoPS0ls3k,2022-12-19,112.0,14.0,2574.0,-0.9968035221099854,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,1,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,Devineni Avinash,0,0,0,0,1,0,0,1,1,0,0,0,0
988-XS0JjuQ,2022-08-22,75.0,0.0,854.0,0.9943418502807616,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
3Mw8b41TYl0,2023-04-14,558.0,14.0,3839.0,0.9944011569023132,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
SaukzhBeqnI,2023-04-22,280.0,5.0,7387.0,-0.8235106468200684,ABN,Devineni Avinash,0,0,0,0,0,0,0,1,0,0,0,0,0
HJ_OPHLYGkk,2022-12-12,53.0,0.0,428.0,0.9958881735801696,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
bjTIMvPcs68,2023-04-17,65.0,44.0,6408.0,-0.991393506526947,Sakshi,Devineni Avinash,0,0,0,0,0,0,1,0,0,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,Devineni Avinash,0,0,0,1,0,0,0,0,0,0,0,0,1
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,Devineni Avinash,0,0,0,0,0,0,0,1,0,0,0,0,0
-WWI5DlOrMg,2022-12-06,457.0,0.0,2193.0,-0.997707724571228,ABN,Devineni Avinash,0,0,0,0,0,1,0,0,0,0,0,0,0
Cf2JnXN80GI,2023-01-10,669.0,60.0,42731.0,0.9896385669708252,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
S4SRUVqE0M8,2022-11-08,75.0,2.0,837.0,0.9862988591194152,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
TvG66nD2UZU,2023-01-30,295.0,17.0,13212.0,-0.9855855107307434,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,1
2klZmw-xpu8,2023-03-11,230.0,36.0,14958.0,-0.9981303811073304,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
sc9KTSap6RQ,2023-02-22,341.0,1.0,275.0,0.9946075677871704,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
