ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,kodur.png,srikakulam_.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,chintalapudi.png,tadikonda.png,eluru.png,palakollu.png,myudukur.png,pulivendula.png,kanigiri.png,sarvepalli.png,singanamala.png,vishakapatnam_south.png,kalayan_durg.png,kaikuluru.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,vijayawada_east.png,nandyal_l.png,kurupam.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png
bC9R6DwirSM,2022-09-03,213.0,304.0,339618.0,-0.9987305998802184,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qc2uyoMH8gY,2023-04-06,71.0,6.0,3668.0,0.9919692873954772,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbVWF4lXfAw,2022-09-19,331.0,7.0,1475.0,-0.9978391528129578,TV5, vidadala ,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hClWuzj-mxo,2023-01-30,196.0,1.0,1245.0,-0.9982865452766418,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-5mc8OcB810,2023-04-06,70.0,21.0,11853.0,0.998593270778656,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EhqUWgW46eA,2022-11-05,171.0,4.0,1141.0,-0.9920740127563475,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gZKU_4HbF5I,2022-10-07,14145.0,8.0,36702.0,0.993871569633484,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y4L-C35bX_A,2023-03-31,179.0,22.0,7603.0,-0.9992954730987548,Sakshi, vidadala ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6MlszGsVj1c,2023-01-02,157.0,1.0,5450.0,0.998354434967041,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inZFNu1JZuA,2022-05-21,453.0,117.0,189508.0,0.9986411929130554,Sakshi, vidadala ,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
To-QkH0iZsQ,2023-02-06,171.0,0.0,692.0,-0.9981550574302672,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G7RmhT8b8oA,2022-10-19,141.0,13.0,2432.0,-0.9948328733444214,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rVh7bmIokcs,2022-10-10,149.0,5.0,3183.0,-0.9950496554374696,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fyriKDbS16Q,2022-12-01,56.0,1.0,1504.0,0.9983515739440918,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27b-bN2SlZ4,2022-08-29,275.0,1.0,3352.0,-0.9977657794952391,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceSSucReZNY,2023-03-20,245.0,7.0,6234.0,-0.9986528158187866,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YoRW4IeV_dQ,2023-01-10,186.0,2.0,548.0,-0.9985387325286864,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xb475sh_XE8,2022-12-01,318.0,10.0,1156.0,-0.9965052604675292,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7-g2SnMItCk,2022-10-15,283.0,25.0,4394.0,0.9973673224449158,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wfkBUxHqnoE,2022-11-17,178.0,0.0,2348.0,-0.99594384431839,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n4AcDs7p1yE,2022-10-29,235.0,0.0,740.0,0.9922582507133484,ABN, vidadala ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2R_vxFZ8sck,2022-11-07,747.0,17.0,14238.0,0.9952817559242249,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chyNI35Rdpo,2022-11-19,201.0,1.0,743.0,-0.9936195015907288,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Aaq6HMRQvg,2023-02-06,450.0,1.0,3803.0,-0.9970486760139464,TV5, vidadala ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_lmvYSxJqE,2023-01-29,193.0,3.0,7009.0,-0.9822527170181274,ABN, vidadala ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeIe_1ZoU50,2023-02-19,57.0,1.0,798.0,-0.9955106973648072,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_yEXrL7vN_k,2023-01-21,170.0,7.0,7855.0,-0.997287392616272,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi, vidadala ,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
C9CR7BMg6XU,2022-10-26,16010.0,9.0,28244.0,0.9933261871337892,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xD2ZnYJO2hQ,2022-12-17,277.0,4.0,1329.0,-0.9938621520996094,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fDpdZRIv8lU,2023-02-10,310.0,43.0,17034.0,-0.9893362522125244,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5WqtyuhQbjs,2022-09-21,137.0,20.0,7035.0,-0.9919911026954652,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4KjY3xHG440,2022-09-19,146.0,1.0,1889.0,-0.9966853260993958,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBOcwUOUNrU,2023-01-03,55.0,1.0,1631.0,-0.9982616305351256,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8sv-OHZ_-U,2023-01-20,143.0,1.0,3367.0,0.9981775283813475,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH-qPEu7_OU,2022-09-19,110.0,11.0,3651.0,0.9955429434776306,TV5, vidadala ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lTk9V4YmQ-8,2022-07-13,167.0,64.0,21941.0,0.9977832436561584,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JtmZe9iEzj4,2023-02-12,75.0,3.0,1246.0,-0.9990524649620056,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
y8TxA1qUBCk,2022-12-12,79.0,1.0,3349.0,0.9832680821418762,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ESij1HKUXc,2022-10-26,631.0,6.0,1414.0,0.9891441464424132,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7tW19vxJfkM,2022-09-21,28105.0,16.0,158850.0,0.9953609108924866,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnvTA5tRw4o,2022-04-22,262.0,100.0,131189.0,0.995287299156189,Sakshi, vidadala ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
kCqK1BIYzN8,2023-02-03,66.0,61.0,48392.0,0.9973301887512208,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neTQ6eI8oZ0,2022-05-24,607.0,15.0,7479.0,0.9958486557006836,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iTbMtm-16Ig,2022-12-06,493.0,3.0,2942.0,-0.9986439347267152,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5TTBwWBwBIc,2022-12-02,143.0,0.0,2559.0,-0.9982315897941588,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn4rNP6DU20,2022-06-25,1098.0,52.0,22605.0,0.994553565979004,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DzBdPyOczIQ,2022-11-07,270.0,3.0,1797.0,0.9978623986244202,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_OeBMlwKBQ,2023-04-06,2947.0,54.0,23476.0,0.9987377524375916,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HWxh5Eur8DE,2023-01-12,141.0,12.0,3144.0,0.9975069165229796,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omCWeuNUV_U,2023-01-11,99.0,36.0,4708.0,-0.9960002303123474,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3IvRIdT4yM,2022-09-14,336.0,1.0,925.0,0.9945106506347656,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsMypnF2mUY,2022-11-26,70.0,0.0,1224.0,-0.9977632761001588,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3OjWmM6MZQ,2023-01-01,191.0,11.0,4198.0,-0.9978072047233582,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vuSRTwp2C4s,2022-12-17,169.0,24.0,14607.0,-0.966105043888092,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WNqggUOnN8E,2022-10-15,358.0,14.0,4786.0,-0.9946852922439576,Sakshi, vidadala ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
x0k_yUyPzXw,2023-02-13,111.0,105.0,21773.0,0.9966094493865968,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iZCCVRzkDCQ,2022-10-20,232.0,84.0,76191.0,0.9936174154281616,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xDSHo7LEJSU,2023-01-27,283.0,15.0,28774.0,0.9974790215492249,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3_m6odiXso,2023-02-08,63.0,0.0,2529.0,0.9983144998550416,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eM62-0FaT1c,2022-07-02,274.0,27.0,18344.0,-0.9981110095977784,Sakshi, vidadala ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
k_IbQHW6VAA,2022-10-13,159.0,2.0,5173.0,-0.9949871301651,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK6pPw4zl_I,2023-01-28,70.0,0.0,888.0,0.992796003818512,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yMZ1SnkmAN8,2022-06-15,133.0,6.0,18899.0,-0.9724909663200378,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GccWNSuZOrE,2022-05-21,623.0,8.0,11961.0,-0.9973127245903016,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u7rkeMOfjz8,2022-10-07,514.0,6.0,3533.0,0.9978491067886353,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3UzY_eK6Af4,2022-09-20,475.0,1.0,703.0,0.9985432624816896,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceJXfOW4ONA,2023-01-19,24.0,0.0,12243.0,-0.9955437779426576,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xY-nx43gyEg,2023-03-23,375.0,61.0,130817.0,0.9958456158638,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GtPmtVrTDxI,2022-11-06,172.0,218.0,60449.0,0.8195741176605225,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5hg6yrOoJhM,2022-10-02,522.0,13.0,20100.0,0.9965717792510986,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
RqmG_LZH5SI,2022-12-20,281.0,3.0,2323.0,0.9972042441368104,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5, vidadala ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZS7wXbeXos8,2019-06-30,49.0,0.0,761.0,-0.9917728304862976,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcN3n9PPAoM,2023-02-04,113.0,1.0,4444.0,-0.9951979517936708,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6gnN-puoQ9M,2022-12-14,460.0,24.0,26592.0,0.995294153690338,Sakshi, vidadala ,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ZmgP5FOcnRw,2022-04-18,74.0,108.0,426210.0,0.9973451495170592,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U28xUpYJn2Y,2022-05-27,255.0,13.0,10922.0,-0.9981923699378968,Sakshi, vidadala ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
s76VVmSp9qU,2022-08-30,97.0,0.0,365.0,-0.9924402236938475,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6QQUR3Gg,2022-07-08,192.0,57.0,106275.0,0.996022403240204,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gTVI5HCIU14,2022-10-10,333.0,0.0,819.0,0.9911656975746156,TV5, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AYpj1pMruE,2023-01-29,89.0,0.0,817.0,-0.9927432537078856,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2erVF3NBP0s,2023-03-16,132.0,60.0,54458.0,-0.9914152026176452,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4F3BPk7w7IM,2022-11-10,287.0,1.0,1318.0,0.9972984194755554,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4AIP712tzk,2022-12-02,193.0,1.0,740.0,0.9901350140571594,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wcF8fxYnerA,2023-02-13,235.0,1.0,964.0,-0.9985268115997314,TV5, vidadala ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLvaOv5__e4,2023-01-09,39.0,12.0,1934.0,-0.9936239719390868,TV9, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7BByqd9LCwM,2022-10-25,261.0,0.0,1949.0,-0.9968283772468568,ABN, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1g9kZEmTqLE,2022-11-05,403.0,12.0,2288.0,-0.9513167142868042,Sakshi, vidadala ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cQpn-G6pzBk,2023-01-03,362.0,13.0,1702.0,-0.9952396154403688,Sakshi, vidadala ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
