ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,tadikonda.png,kalayan_durg.png,paturi_nagabhusnam.png
2ibPRd-EM9Q,2023-03-28,335.0,3.0,1836.0,-0.9922869205474854,TV5,4 MLAs Suspension,0,0,0,0
P_JygdNNgR8,2023-03-20,181.0,21.0,18811.0,-0.9941198825836182,Sakshi,4 MLAs Suspension,0,0,0,0
V_cbG-fK6lU,2023-03-27,168.0,1.0,3600.0,-0.9897454977035522,TV9,4 MLAs Suspension,1,0,0,0
LkyDLEH1QxE,2023-03-30,271.0,4.0,2970.0,-0.998319447040558,TV9,4 MLAs Suspension,0,0,0,0
3FXI_Lpppak,2022-10-30,305.0,0.0,494.0,-0.9971390962600708,TV5,4 MLAs Suspension,0,0,0,0
CJvVJjU9A0A,2023-03-26,218.0,13.0,3177.0,-0.9944602251052856,TV9,4 MLAs Suspension,0,0,0,0
QWMtV2G0Q0U,2022-12-30,324.0,1.0,2536.0,-0.9972488284111024,TV9,4 MLAs Suspension,1,0,0,0
Y3Um1REgZJE,2023-03-24,297.0,8.0,10183.0,-0.9972726702690125,TV9,4 MLAs Suspension,1,0,0,1
8EXFQ-gVmqM,2023-03-25,290.0,59.0,53013.0,-0.9939938187599182,TV5,4 MLAs Suspension,0,0,0,0
8YduR5vjfBE,2023-03-24,200.0,3.0,5184.0,-0.9991944432258606,TV9,4 MLAs Suspension,1,0,0,1
M6MA9RjDhmM,2023-03-24,320.0,18.0,21286.0,0.99832683801651,ABN,4 MLAs Suspension,0,0,0,1
x2uumlPxmWg,2022-11-25,95.0,0.0,883.0,-0.998289167881012,ABN,4 MLAs Suspension,0,0,0,0
rql8LzldrH4,2023-03-24,239.0,26.0,11030.0,-0.9973111152648926,ABN,4 MLAs Suspension,0,0,0,0
9-fUPkPm50w,2023-04-01,204.0,0.0,470.0,0.9857730269432068,ABN,4 MLAs Suspension,0,0,0,0
KdT49fbfiPg,2022-10-27,215.0,0.0,2571.0,-0.9979737401008606,ABN,4 MLAs Suspension,0,0,0,0
AZbEsDPqSfc,2023-03-24,237.0,7.0,33268.0,-0.9960572719573976,TV9,4 MLAs Suspension,0,0,0,0
FWNazP_45IQ,2023-03-24,195.0,11.0,4002.0,-0.993937849998474,TV5,4 MLAs Suspension,0,0,0,0
fuNNHTNaV6k,2023-03-24,220.0,27.0,33859.0,-0.9973607659339904,TV5,4 MLAs Suspension,0,0,0,0
yVhGVuK3f70,2022-10-27,510.0,4.0,1339.0,-0.9953553676605223,ABN,4 MLAs Suspension,0,0,0,0
7whkTXbMfQo,2023-03-25,160.0,19.0,27146.0,-0.9622119665145874,TV5,4 MLAs Suspension,0,0,0,0
Asty6NDPwyg,2023-03-26,292.0,9.0,7428.0,-0.9950113296508788,TV9,4 MLAs Suspension,0,0,0,0
cXlIQVmVvIg,2023-03-15,321.0,3.0,9827.0,-0.9987980127334596,TV9,4 MLAs Suspension,0,0,0,0
IaEkLOMDvJU,2023-04-03,225.0,18.0,27491.0,-0.9947633147239684,ABN,4 MLAs Suspension,0,0,0,0
