ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,gajapathinagram.png,penamaluru.png,Rajam.png,pulivendula.png,kanigiri.png,kalayan_durg.png,kaikuluru.png,madugula.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tuni.png,rayachoti.png,pamarru.png,nandikotkur.png,tadepalligudem.png,tekkali.png,denduluru.png
w-_fx4PMk74,2022-11-26,238.0,0.0,498.0,0.8610017895698547,TV9,panchayat elections,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ejgm4YStucQ,2020-03-17,163.0,19.0,9820.0,-0.9984797835350036,Sakshi,panchayat elections,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1z2Ij3O8UI,2021-02-21,292.0,2.0,2165.0,0.997689962387085,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
fXSQQbbtPXA,2021-02-16,234.0,2.0,1223.0,-0.96608966588974,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9qZ-TF2elfA,2022-12-07,211.0,3.0,1452.0,0.9978971481323242,TV9,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aom1dSSD2SM,2021-02-20,265.0,0.0,1395.0,0.9976783394813538,Sakshi,panchayat elections,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
IyyUgGLznS8,2021-02-14,64.0,4.0,3449.0,0.8696548342704773,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ByD1k4UU_dw,2020-03-08,146.0,3.0,10083.0,0.9936625957489014,Sakshi,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KQhaY9O8GeU,2022-08-27,259.0,434.0,386585.0,-0.998035490512848,TV5,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyXY6J37Is8,2023-02-10,215.0,1.0,2447.0,-0.9986761212348938,TV5,panchayat elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
