ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,vijayawada_l.png,gannavaram_vamsi.png,machillipatnam.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,srisailam.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,eluru.png,venkat_krishna.png,palakollu.png,gudivada.png,guntur_west.png,ankapalle.png,anantapur_l.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,nidadavole.png,sarvepalli.png,vishakapatnam_south.png,kalayan_durg.png,kaikuluru.png,murthy.png,madugula.png,unguturu.png,repalle.png,nandyal.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,vijayawada_east.png,rayachoti.png,nandyal_l.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,kadiri.png,denduluru.png,pawan.png,Narasannapeta.png
FCyuRcDOvYo,2022-12-19,222.0,51.0,102653.0,0.9905470013618468,TV9,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lwGT1hq0A4A,2022-03-22,200.0,4.0,580.0,-0.994674563407898,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_S_e-wLJ19k,2022-06-30,2122.0,7.0,7441.0,0.992426872253418,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k7zaigwHDlY,2022-10-18,14920.0,64.0,48993.0,0.9973489046096802,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xCDuFNbAvnQ,2022-04-21,751.0,3.0,7635.0,0.9919258952140808,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keZ1cI1TdFE,2023-01-22,95.0,2.0,1656.0,-0.9988970756530762,TV9,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_PbjydeiQBc,2023-01-06,75.0,0.0,757.0,0.9977286458015442,TV5,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ez6y4mPJok,2022-10-17,605.0,248.0,222897.0,-0.99764484167099,TV5,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo4dNoqTDuw,2022-09-30,450.0,4.0,1333.0,-0.9968333840370178,TV5,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rVh7bmIokcs,2022-10-10,149.0,5.0,3183.0,-0.9950496554374696,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
