ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,venkatagiri.png,pulivendula.png,kalayan_durg.png,pedana.png
-WDPqtI0gts,2022-12-16,315.0,25.0,3003.0,-0.9955785870552064,TV5,Jayaho BC,0,0,0,0,0
gsZZUMa5zEU,2022-12-05,131.0,5.0,9680.0,-0.9974053502082824,TV5,Jayaho BC,0,0,0,0,0
_04LTrXvunQ,2022-10-12,185.0,16.0,8896.0,0.9952777624130248,TV5,Jayaho BC,0,0,0,0,0
NfGW-7YXB18,2023-04-11,77.0,3.0,11152.0,0.9881795644760132,ABN,Jayaho BC,0,0,0,0,0
ynzwjLWEasE,2023-03-12,293.0,6.0,2329.0,0.9982945322990416,Sakshi,Jayaho BC,0,0,0,0,0
sVBnuIkBpsc,2022-12-07,190.0,0.0,808.0,-0.998450517654419,ABN,Jayaho BC,0,0,0,0,0
QSbc93r2kWo,2022-12-06,166.0,6.0,3131.0,-0.9976029992103576,ABN,Jayaho BC,0,0,1,0,0
Z3Ag9x9uGs4,2022-12-07,234.0,3.0,1677.0,-0.9937519431114196,TV9,Jayaho BC,0,0,1,0,0
35Lfglros-4,2022-12-05,760.0,9.0,2216.0,0.9893218278884888,Sakshi,Jayaho BC,0,0,0,0,0
K4rOBdSUbA4,2022-12-07,346.0,0.0,2528.0,0.9980986714363098,TV9,Jayaho BC,0,0,0,0,0
3ELE8iE-R80,2022-12-08,85.0,3.0,2257.0,0.9910284876823424,TV5,Jayaho BC,0,0,0,0,0
hiNTWtBjL4I,2022-12-06,215.0,1.0,1783.0,-0.9993020296096802,TV9,Jayaho BC,0,0,0,0,1
Hj19njxGkWo,2022-12-07,10895.0,13.0,24426.0,0.9963709115982056,TV5,Jayaho BC,0,0,0,0,0
v02u7cEVFDQ,2022-12-07,314.0,11.0,8071.0,0.9986339211463928,Sakshi,Jayaho BC,1,0,0,0,0
2PQsRCXKEw4,2022-12-07,161.0,7.0,3456.0,0.990486204624176,Sakshi,Jayaho BC,0,0,0,0,0
4qLyXnbg0Fk,2022-12-06,211.0,2.0,1783.0,-0.9993213415145874,TV9,Jayaho BC,0,0,0,0,0
7NX6X7bwCGA,2022-05-26,218.0,131.0,129578.0,-0.991295337677002,Sakshi,Jayaho BC,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,Jayaho BC,0,0,0,0,0
tNAKDqa53rE,2022-12-03,292.0,2.0,1229.0,0.9976110458374025,Sakshi,Jayaho BC,1,0,0,0,1
dLtJ4pbIJNQ,2022-12-15,182.0,0.0,1277.0,-0.983081877231598,TV9,Jayaho BC,0,0,0,0,0
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,Jayaho BC,0,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,Jayaho BC,0,0,0,0,0
zxy-b0DNwUI,2022-12-07,384.0,7.0,3259.0,0.9940500259399414,Sakshi,Jayaho BC,0,0,0,0,0
i_o9CvZQ2ok,2022-12-07,11295.0,31.0,16928.0,0.994652271270752,TV5,Jayaho BC,0,0,0,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,Jayaho BC,0,0,0,0,0
dj-qT-7AgeM,2022-12-07,141.0,135.0,86890.0,-0.9983046054840088,ABN,Jayaho BC,0,0,0,0,0
HSXhj0FsyeM,2022-12-07,2641.0,7.0,5345.0,0.9950645565986632,TV5,Jayaho BC,0,0,0,0,0
3FfP-H-SUGk,2022-12-07,190.0,4.0,2692.0,-0.9983408451080322,TV9,Jayaho BC,1,0,0,1,0
5e5e9Q5yIqM,2022-11-14,80.0,6.0,12792.0,-0.998941957950592,TV5,Jayaho BC,0,0,0,1,0
r7d9L7d1qoQ,2022-11-11,342.0,7.0,4039.0,-0.9968743324279784,TV5,Jayaho BC,0,0,0,0,0
2gQfVocWn2U,2023-04-14,290.0,1.0,3095.0,-0.9812162518501282,TV9,Jayaho BC,0,0,0,0,0
