ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,venkatagiri.png,narsapuram_l.png,ankapalle.png,pulivendula.png,murali_krishna.png,nandyal.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png
LYIr6A3muY0,2023-01-27,298.0,404.0,102123.0,-0.997269570827484,Sakshi,investors summit,0,0,0,1,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
INatu6hFDKE,2023-03-05,291.0,4.0,2275.0,0.9774482846260072,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
_qDltHSFiSk,2023-03-05,322.0,2.0,2120.0,0.9968897700309752,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
6dnnHSfKrxw,2023-03-03,267.0,1.0,1770.0,0.9975165128707886,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
hM6Fg4H6tJU,2023-03-03,234.0,7.0,4942.0,0.998262107372284,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
VLBcHjxSoX0,2023-03-02,287.0,8.0,4053.0,-0.9850168228149414,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
03DptA0lm4s,2023-03-04,216.0,5.0,2329.0,0.9982763528823853,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
eY1sWv9t5VE,2023-03-03,317.0,6.0,2484.0,0.9975782036781312,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
WR8TUIZBgdA,2023-01-31,261.0,50.0,5175.0,0.9960719347000122,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
TnPFIdcB-JA,2023-03-03,320.0,5.0,1623.0,-0.999206840991974,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
W6-7nSDRs-M,2023-03-04,6205.0,2.0,17731.0,0.9926170706748962,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
ysN5_AlAG9c,2023-03-03,120.0,1.0,3241.0,-0.9983285069465636,ABN,investors summit,0,0,0,1,0,0,0,0,0,0,0
_weBInFmGoU,2023-03-03,8354.0,18.0,12128.0,0.9973742961883544,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
KfNzaq80eI4,2023-03-01,139.0,14.0,2908.0,0.9982132911682128,TV9,investors summit,0,0,0,0,0,1,0,0,0,0,0
ZAmUsL-iJhQ,2022-09-30,300.0,92.0,49135.0,-0.9969336986541748,TV5,investors summit,0,0,0,1,0,0,0,0,0,0,0
vJEEOgLH7lQ,2023-03-02,300.0,0.0,1611.0,0.9930007457733154,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
3NlPbw42yx4,2023-03-18,677.0,109.0,43122.0,0.995819330215454,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
GB8dhBdmb3k,2023-03-07,136.0,7.0,3050.0,-0.9990130662918092,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
0xvfnQoU3R0,2023-03-03,135.0,5.0,4018.0,0.9970709085464478,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
dKY9Q5u1NIA,2023-03-03,118.0,44.0,22103.0,0.9977566599845886,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
zr2HdGzYFq8,2023-03-03,812.0,491.0,195469.0,0.9965527057647704,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
DmTiGsw7tus,2023-04-02,227.0,6.0,13177.0,-0.9941182136535645,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
8urOo15e8Go,2023-03-03,72.0,7.0,4570.0,0.997717022895813,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
7FLtjK8Sd8g,2023-03-04,217.0,1.0,1024.0,-0.9988383650779724,TV9,investors summit,0,0,1,0,0,0,1,0,0,0,0
QXT03aDKWa4,2022-12-01,70.0,0.0,716.0,-0.9991350769996644,ABN,investors summit,0,0,0,0,0,0,0,0,1,0,0
baSXHT_RpMQ,2023-03-02,228.0,29.0,95388.0,-0.9948392510414124,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
8KZtxj3BfkU,2023-03-04,330.0,6.0,2414.0,0.9969481825828552,ABN,investors summit,1,0,0,0,0,0,0,0,0,0,0
MQbO-H2Zs5U,2023-03-02,311.0,1.0,2584.0,0.9901202917099,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
0FHBar-mu08,2023-03-02,286.0,2.0,2533.0,0.561827540397644,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
kxHSdI-FTK0,2023-03-03,4896.0,1.0,2754.0,0.9976957440376282,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
_37tTTzDyR4,2023-03-05,258.0,0.0,855.0,0.9983983635902404,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
rdhz2a7e9Ys,2023-03-04,182.0,14.0,4060.0,0.99018657207489,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
baun66kZ0oE,2023-01-31,230.0,13.0,3930.0,-0.9980762004852296,ABN,investors summit,0,1,1,0,0,0,0,0,0,0,0
fJ1H8u7KBX8,2023-03-04,11.0,20.0,21331.0,0.9979142546653748,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
eHXaVzca7e8,2023-03-07,295.0,4.0,1335.0,0.9918689727783204,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
OWmr-vIFlrM,2023-03-03,113.0,2.0,4773.0,0.9955716133117676,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
ojxQRAQj6Zs,2023-03-03,227.0,28.0,6299.0,0.9982547163963318,TV9,investors summit,0,0,0,0,1,0,0,0,0,0,0
XSGVzfgEhGE,2023-03-05,335.0,15.0,5364.0,-0.9982853531837464,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
nu9Z9ZT64sE,2023-03-03,320.0,42.0,13446.0,0.997300922870636,ABN,investors summit,0,0,0,0,1,0,0,1,0,0,0
BHTwuOQUE2c,2023-03-02,268.0,0.0,775.0,-0.9976905584335328,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
rZQgU5ZJhgo,2023-02-28,157.0,3.0,630.0,0.9974823594093324,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
TkxymwFNKUQ,2023-03-04,161.0,107.0,196794.0,0.9978076815605164,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
hYyxYNO_Kwo,2023-03-03,219.0,9.0,162522.0,0.9966804385185242,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
3Jz6PCmBGA4,2023-03-06,756.0,12.0,2623.0,-0.9989433884620668,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
U68ldwdN8jg,2023-03-08,135.0,9.0,847.0,0.9970021843910216,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
cQzcGLWqd1U,2023-03-03,216.0,87.0,83213.0,0.9988200068473816,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
UGi798FX32Q,2023-03-03,307.0,41.0,4333.0,-0.995204210281372,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
P48Z15330Tk,2023-03-19,221.0,72.0,28157.0,0.993715226650238,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
MWghdvf06FI,2023-03-06,872.0,4.0,3515.0,0.9945598244667052,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
G36ac9MQ4To,2023-03-11,452.0,3.0,1613.0,-0.9975467324256896,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
7b7JQs_Ty2c,2023-04-20,325.0,14.0,39686.0,-0.9976477026939392,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
-VLSTmA_rac,2023-03-03,338.0,12.0,4443.0,0.9981060028076172,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
EHppbp18HfA,2023-03-03,199.0,10.0,10545.0,0.9975805282592772,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
KWOz_kBYeAY,2023-01-31,430.0,480.0,84202.0,0.997130572795868,Sakshi,investors summit,0,0,0,0,0,1,0,0,0,0,0
9QPZZfqudg0,2023-01-18,343.0,0.0,745.0,0.9979479908943176,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
TMg_ipKQLuk,2023-01-11,182.0,1.0,1181.0,0.9893619418144226,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
AJQrc0nThbs,2023-03-03,300.0,0.0,1103.0,0.9987927675247192,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
FOHc1ndlWH4,2023-03-03,242.0,10.0,2425.0,-0.9852500557899476,ABN,investors summit,0,0,0,0,0,1,0,0,0,0,0
3GJJJUIj-Sc,2023-03-05,251.0,8.0,6678.0,0.9983423948287964,Sakshi,investors summit,1,0,0,0,0,0,0,0,0,1,0
6pVncRdaIsM,2023-03-05,308.0,27.0,17967.0,0.9980531930923462,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
8orC08TG_Mc,2023-02-19,212.0,10.0,5322.0,0.9971656203269958,ABN,investors summit,0,0,0,0,0,1,0,0,0,1,0
TWQNcdItdpQ,2023-03-06,133.0,3.0,999.0,0.9980394244194032,TV9,investors summit,0,0,1,0,0,0,0,0,1,0,0
Tcm36kDVyJ4,2023-03-03,177.0,111.0,72869.0,0.9984261989593506,TV9,investors summit,0,0,0,0,0,0,0,0,0,1,0
sxqEBaCRxzE,2023-03-04,160.0,3.0,2097.0,-0.9951855540275574,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
OwIePql8oWM,2023-03-07,293.0,21.0,2671.0,0.8404936194419861,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
Qr--Ou-m3V0,2023-03-05,150.0,2.0,1439.0,0.9885585308074952,TV9,investors summit,0,1,0,0,0,0,1,0,0,0,0
51juZRb5nxc,2023-03-06,171.0,30.0,16468.0,-0.9967312812805176,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
pxlwCeQLWD8,2023-03-14,250.0,0.0,1263.0,-0.98274427652359,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
Orrz8pdq-P0,2023-03-07,34.0,1.0,700.0,0.9987761378288268,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
hCzh_cmAecY,2023-03-11,148.0,8.0,2675.0,-0.9966717958450316,Sakshi,investors summit,0,0,0,0,1,0,0,1,0,0,0
rZZmqUzw2Qk,2023-03-03,243.0,1.0,2628.0,0.998606026172638,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
v5rFm1rO4K8,2023-03-03,259.0,9.0,12738.0,0.9973675608634948,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
3dNkvaw5Jw0,2023-03-03,289.0,16.0,3271.0,0.9976081848144532,Sakshi,investors summit,0,0,0,0,1,0,0,0,0,0,0
YtXKBu6DeiE,2023-03-02,219.0,0.0,21506.0,0.9789687395095824,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
-xAy6izt-Lc,2023-03-03,429.0,14.0,2801.0,0.9907782077789308,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
KSohuQYbE3Q,2023-03-05,392.0,7.0,5299.0,0.996519923210144,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
wnlXaw9YLGE,2023-03-03,300.0,16.0,3051.0,0.9978378415107728,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
qsTOlFCSXOo,2023-03-04,913.0,4.0,26153.0,0.9932782053947448,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
S6NMtaQKtHA,2023-03-03,72.0,16.0,15147.0,0.9964683055877686,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
Ag_-q9dnpt4,2023-03-02,153.0,27.0,23612.0,0.9978259205818176,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
UEcGSXggqiA,2023-03-08,457.0,1.0,1165.0,-0.9992159605026244,ABN,investors summit,0,0,0,0,0,0,0,0,0,0,0
-TL-DTteKd4,2023-03-03,341.0,3.0,6452.0,0.9987943172454834,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
zw6qsqL6z_c,2023-03-03,106.0,9.0,3990.0,0.9982510209083556,Sakshi,investors summit,0,0,0,0,0,0,0,0,0,0,0
tCCQJEyNo_U,2023-03-06,510.0,21.0,9141.0,0.9931765794754028,TV5,investors summit,0,0,0,0,0,0,0,0,0,0,0
mV4p47CXzj4,2023-03-03,300.0,0.0,1080.0,0.9982730150222778,TV9,investors summit,0,0,0,0,0,0,0,1,0,0,0
eFJf0BYsCfA,2023-03-04,219.0,14.0,92437.0,0.9915539622306824,TV9,investors summit,0,0,0,0,0,0,0,0,0,0,0
