ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kakinada.png,palakollu.png,pulivendula.png,vishakapatnam_south.png
iH0kf7qCWxg,2023-02-07,161.0,38.0,6052.0,0.9947633147239684,TV5,borugadda anil kumar,1,1,0,1
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,borugadda anil kumar,0,0,0,0
JqDh35nuld0,2023-02-10,190.0,6.0,5931.0,0.997467041015625,TV5,borugadda anil kumar,0,0,0,0
Hjv_deoWzWo,2023-01-18,327.0,12.0,5819.0,0.9977787137031556,TV9,borugadda anil kumar,0,0,0,0
uXqkkpHkCOw,2023-02-06,119.0,1.0,395.0,-0.991613507270813,TV5,borugadda anil kumar,0,0,0,0
aq1bJiK0xPU,2023-02-08,25139.0,8.0,49415.0,0.9886899590492249,TV5,borugadda anil kumar,0,0,0,0
6x2OOry-UHI,2023-02-08,529.0,149.0,169665.0,0.9873347282409668,TV5,borugadda anil kumar,0,0,0,0
oLNkJBZKMsY,2023-03-22,279.0,21.0,3001.0,-0.9925423860549928,TV9,borugadda anil kumar,0,0,0,0
OodwZo7Kd30,2022-11-29,264.0,4.0,2332.0,-0.9976568222045898,ABN,borugadda anil kumar,0,0,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,borugadda anil kumar,0,0,0,0
vAYBTB5NBb0,2023-01-26,169.0,0.0,1396.0,0.9969807267189026,TV9,borugadda anil kumar,0,0,0,0
SSPh1i1nRBQ,2023-02-13,105.0,2.0,3337.0,-0.9986634254455566,ABN,borugadda anil kumar,0,0,0,0
3CCO9I41cFQ,2022-09-13,237.0,2.0,1660.0,-0.9986322522163392,TV5,borugadda anil kumar,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,borugadda anil kumar,0,0,0,0
CJ77aU3a-Qw,2023-01-01,234.0,0.0,778.0,0.9980886578559875,TV5,borugadda anil kumar,0,0,0,0
HRNbSXRFCik,2023-03-12,328.0,7.0,2941.0,0.9692771434783936,Sakshi,borugadda anil kumar,0,0,0,0
aZhCaJF_yso,2023-02-07,220.0,142.0,109613.0,0.9870299696922302,TV5,borugadda anil kumar,0,0,1,0
_Ia6yDnwNTY,2023-02-13,481.0,173.0,206524.0,0.9960557222366332,Sakshi,borugadda anil kumar,0,0,0,0
7P1I5q9ySpY,2023-02-07,154.0,85.0,30085.0,-0.9985777139663696,ABN,borugadda anil kumar,0,0,0,0
s7ls4BN4lcw,2023-02-07,164.0,339.0,42555.0,-0.9968811273574828,TV5,borugadda anil kumar,0,0,0,0
deUaKSqKx34,2023-01-18,296.0,1.0,1028.0,-0.997672975063324,TV9,borugadda anil kumar,0,0,0,0
s1yEgYBeEek,2023-01-02,109.0,5.0,3335.0,-0.9986498951911926,Sakshi,borugadda anil kumar,0,0,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,borugadda anil kumar,0,0,0,0
E5O5vLR46Ww,2023-03-18,94.0,56.0,36466.0,0.9964608550071716,Sakshi,borugadda anil kumar,0,0,0,0
e36e7igrSDE,2022-11-01,188.0,0.0,2227.0,-0.9867141842842102,ABN,borugadda anil kumar,0,0,0,0
sBgtyPh91TA,2020-03-13,477.0,1.0,2558.0,0.9917200803756714,Sakshi,borugadda anil kumar,0,0,0,0
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,borugadda anil kumar,0,0,0,0
ySvEeMjnx8Y,2023-04-17,245.0,2.0,2967.0,-0.9939991235733032,TV9,borugadda anil kumar,0,0,0,0
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,borugadda anil kumar,0,0,0,0
HDH5lJiJYeU,2022-09-29,120.0,0.0,1360.0,-0.9954662322998048,TV5,borugadda anil kumar,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,borugadda anil kumar,0,0,0,0
NRb1y0mcJoY,2023-04-22,156.0,2.0,966.0,0.998740017414093,TV5,borugadda anil kumar,0,0,0,0
EIeOm83bUg0,2023-03-09,267.0,3.0,845.0,-0.9971184730529784,TV9,borugadda anil kumar,0,0,0,0
OiAOpyyUz_g,2023-02-20,330.0,0.0,605.0,-0.989914059638977,TV5,borugadda anil kumar,0,0,0,0
h5GEtqmAVew,2023-02-07,110.0,75.0,11523.0,-0.9963476061820984,ABN,borugadda anil kumar,0,1,0,1
laLo9V0imAU,2023-02-08,59.0,19.0,41105.0,0.937522292137146,TV5,borugadda anil kumar,0,0,0,0
OTrMWkdTLJ8,2023-03-27,271.0,476.0,163841.0,0.9953540563583374,Sakshi,borugadda anil kumar,1,0,0,0
aOkXCpS_73o,2022-03-26,211.0,4.0,4174.0,0.9975475668907166,Sakshi,borugadda anil kumar,0,0,0,0
uNP-2InpahU,2022-12-10,174.0,0.0,2867.0,-0.9954234957695008,TV9,borugadda anil kumar,0,0,0,0
DVbno4TwDos,2023-02-07,120.0,0.0,536135.0,0.9923961758613586,ABN,borugadda anil kumar,0,0,0,0
EaFL1jTEv0U,2022-12-31,239.0,2.0,36144.0,-0.9927859902381896,TV9,borugadda anil kumar,0,0,0,0
iZg3l3fGOaI,2023-02-07,78.0,16.0,2883.0,0.9971430897712708,TV5,borugadda anil kumar,0,1,0,0
Vu45ltq119s,2023-02-07,979.0,679.0,170066.0,0.9892095923423768,Sakshi,borugadda anil kumar,0,0,0,0
R97JvEIc1UM,2023-02-07,150.0,161.0,20097.0,-0.9958817958831788,TV5,borugadda anil kumar,0,1,0,0
IqhfS0yXeeY,2023-03-07,78.0,0.0,842.0,-0.997588872909546,TV5,borugadda anil kumar,0,0,0,0
3p11vbqDBbs,2023-03-29,309.0,56.0,99119.0,-0.9984128475189208,TV9,borugadda anil kumar,0,0,0,0
NpOd2kBd3xk,2022-11-26,99.0,0.0,743.0,0.9954875111579896,TV5,borugadda anil kumar,0,0,0,0
fDdQFuYIIls,2023-01-20,108.0,2.0,1307.0,-0.9764786958694458,ABN,borugadda anil kumar,0,0,0,0
jgVqg0lXop8,2023-03-28,238.0,25.0,5231.0,-0.9879260063171388,TV9,borugadda anil kumar,1,0,0,0
w31rzj3d2Lw,2021-12-26,291.0,6.0,2964.0,0.9978517293930054,Sakshi,borugadda anil kumar,0,0,0,0
i8q2giSRIO4,2023-04-15,272.0,0.0,4925.0,0.9903990030288696,TV9,borugadda anil kumar,0,0,0,0
DiSoh7kK1zg,2023-02-10,115.0,3.0,3582.0,0.9939131140708924,TV5,borugadda anil kumar,0,0,0,0
dI1R0gIU4v4,2022-11-22,220.0,3.0,34300.0,-0.9954896569252014,TV9,borugadda anil kumar,0,0,0,0
hBKlbhrJtXM,2022-04-27,142.0,172.0,47885.0,0.9866808652877808,Sakshi,borugadda anil kumar,0,0,1,0
kW60ea1GePA,2023-01-05,316.0,19.0,4831.0,0.9801733493804932,ABN,borugadda anil kumar,0,0,0,0
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,borugadda anil kumar,0,0,0,0
AswcjfI4BQQ,2023-01-28,275.0,3.0,6139.0,0.9961950778961182,TV5,borugadda anil kumar,0,0,0,0
DdnZn44S_eU,2023-02-07,76.0,9.0,2181.0,-0.9978654980659484,ABN,borugadda anil kumar,0,0,0,0
EjHH_RCBjik,2022-06-18,242.0,5.0,2043.0,0.9968733191490172,Sakshi,borugadda anil kumar,0,0,0,0
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,borugadda anil kumar,0,0,0,0
0eewhif45kU,2023-03-05,156.0,0.0,773.0,-0.9977350234985352,TV5,borugadda anil kumar,0,0,0,0
D9rFzEh-Yd8,2023-02-07,77.0,7.0,2338.0,-0.9991589784622192,ABN,borugadda anil kumar,0,0,0,0
Dh4DLjVgrvk,2022-11-05,303.0,0.0,1215.0,0.9975011944770812,TV5,borugadda anil kumar,0,0,0,0
1N9nF1ULg0k,2023-02-07,72.0,15.0,4091.0,-0.9972055554389954,ABN,borugadda anil kumar,1,1,0,1
HqodrYm9PuM,2022-11-24,339.0,9.0,4017.0,-0.9982781410217284,ABN,borugadda anil kumar,0,0,0,0
oMD1yawpA94,2023-02-07,171.0,936.0,203708.0,0.9981402158737184,TV5,borugadda anil kumar,0,0,0,0
MxwkqNwOQhU,2023-02-07,66.0,26.0,5225.0,-0.9980658888816832,TV9,borugadda anil kumar,0,1,0,0
xV0xyycnQJw,2023-02-05,405.0,109.0,124425.0,-0.9928988218307496,TV5,borugadda anil kumar,0,0,0,0
HM85XkwTt1w,2022-12-02,398.0,2.0,2505.0,-0.9984951019287108,TV5,borugadda anil kumar,0,0,1,0
GayANK-AALU,2023-03-23,294.0,8.0,4263.0,0.585432231426239,TV5,borugadda anil kumar,0,0,0,0
AKD9bfNJA44,2023-02-07,73.0,5.0,2118.0,-0.9981259703636168,ABN,borugadda anil kumar,0,1,0,1
