ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
s-Rtj9B4nnQ,2023-02-18,392.0,2.0,6815.0,0.9789721965789796,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xEHlLFwvbTc,2022-12-19,197.0,27.0,57161.0,-0.9977177381515504,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
XIBxyNnX0A4,2022-11-25,382.0,3.0,4185.0,-0.9982084035873412,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d2DQ52KMJA,2023-02-18,144.0,44.0,35975.0,-0.9901134967803956,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_eQKvbdMDu4,2023-03-03,280.0,8.0,3393.0,0.9945710301399232,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DOB2LkBWsk,2022-11-25,338.0,28.0,21387.0,-0.9990705847740172,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0haY480zFc,2022-09-23,81.0,8.0,13796.0,0.9972346425056458,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wcF8fxYnerA,2023-02-13,235.0,1.0,964.0,-0.9985268115997314,TV5,cpi narayana,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
xI55R2K1tgg,2022-10-09,220.0,0.0,2462.0,-0.999427318572998,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbymtYGyCis,2022-01-18,220.0,21.0,6885.0,-0.9979815483093262,Sakshi,cpi narayana,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZLkv0QcIsWk,2022-12-05,84.0,0.0,5667.0,0.9983508586883544,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZiPR6Dg2B38,2023-01-18,236.0,2.0,2257.0,0.997068464756012,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,cpi narayana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25Sl7YlMSYs,2021-02-19,191.0,0.0,2142.0,-0.990458607673645,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N37SHGgTuzA,2022-10-22,95.0,4.0,5215.0,-0.9991652965545654,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHNI2vLrPnE,2021-10-16,15425.0,10.0,8430.0,-0.9979216456413268,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0AQws1rsuY,2022-11-16,116.0,1.0,4276.0,-0.9976341724395752,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCmeHgv2WLU,2023-02-10,215.0,15.0,4909.0,-0.9942666888237,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNRBZ8Nmk04,2022-10-10,290.0,74.0,171378.0,-0.997051477432251,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
