ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
YmaiAP9CWwg,2023-03-24,236.0,292.0,74676.0,0.9885547757148744,Sakshi,MLC Elections 2023,0,0,0,0
ohGXYgWy_HQ,2023-03-18,442.0,12.0,3415.0,-0.9991833567619324,TV9,MLC Elections 2023,0,0,0,0
kMQ-M4snoV0,2023-03-17,315.0,26.0,15682.0,-0.9969037175178528,TV5,MLC Elections 2023,0,0,0,1
brlvYC-kGM0,2023-03-23,60.0,15.0,32630.0,0.996273159980774,TV5,MLC Elections 2023,0,0,0,0
1iingwJTb5g,2023-04-03,205.0,2.0,4658.0,0.9972324967384338,TV5,MLC Elections 2023,0,0,0,0
wZLjJyQ8-C8,2023-03-12,239.0,4.0,35958.0,0.9957175850868224,TV9,MLC Elections 2023,0,0,0,0
oaVigG1Xm8E,2023-02-22,168.0,3.0,3972.0,-0.9988020658493042,TV5,MLC Elections 2023,0,0,0,0
QdPt9xFKXc4,2023-03-21,115.0,3.0,1741.0,-0.9946617484092712,TV5,MLC Elections 2023,0,0,0,0
HWt7UtJQ88Y,2022-11-06,320.0,43.0,34864.0,0.9971399307250975,TV5,MLC Elections 2023,0,0,0,0
yREbzNg3h1Y,2023-03-17,119.0,13.0,5253.0,-0.9606441855430604,TV5,MLC Elections 2023,1,1,0,1
RxcDcDXrQdg,2023-04-10,38.0,2.0,1249.0,-0.9979087114334106,TV9,MLC Elections 2023,0,0,0,0
jA_p2hqj4tc,2023-03-17,402.0,39.0,33751.0,0.990861177444458,TV5,MLC Elections 2023,0,0,0,0
CLBzM46bljY,2023-03-18,290.0,7.0,11218.0,-0.997051239013672,ABN,MLC Elections 2023,0,1,0,0
icJg_H-iF5Q,2023-03-26,155.0,0.0,1271.0,0.9981535077095032,TV9,MLC Elections 2023,0,0,0,0
bdjwj0E3YMI,2023-03-17,243.0,36.0,4909.0,0.9985693693161012,Sakshi,MLC Elections 2023,0,0,0,0
9DPmsv7vhKg,2023-03-18,168.0,12.0,12168.0,-0.994176149368286,TV9,MLC Elections 2023,0,0,0,0
SEFmAzJYmLk,2023-03-23,24136.0,1.0,117010.0,0.9927691221237184,ABN,MLC Elections 2023,0,0,0,0
RwJBlJOORkU,2023-03-13,84.0,2.0,2068.0,-0.999101996421814,TV5,MLC Elections 2023,0,0,0,0
1ZQ55msZ33Q,2023-03-23,94.0,49.0,65762.0,0.9972182512283324,Sakshi,MLC Elections 2023,0,0,0,0
XU4MBWFFK5k,2023-03-19,190.0,14.0,13938.0,-0.9914984107017516,TV5,MLC Elections 2023,0,0,0,0
QSjpb3L47So,2023-03-20,395.0,7.0,7998.0,0.99782794713974,TV5,MLC Elections 2023,0,0,0,0
wjVxKo7wVN4,2023-03-13,282.0,0.0,1485.0,-0.9984866380691528,ABN,MLC Elections 2023,0,0,0,0
ZAjHiJjeLMQ,2023-03-18,175.0,0.0,5056.0,0.9982810020446776,TV5,MLC Elections 2023,0,0,0,0
JlxOIRrE85Y,2023-03-03,2375.0,3.0,4809.0,0.9928357005119324,TV9,MLC Elections 2023,0,0,0,0
fnhLIiS5p4w,2023-04-01,103.0,140.0,144368.0,-0.9992049336433412,TV9,MLC Elections 2023,0,0,0,0
0mVjHUYVh3k,2023-03-18,264.0,12.0,22792.0,0.9985466599464417,TV5,MLC Elections 2023,0,0,0,0
vrJb2Wrcupc,2023-03-20,520.0,1.0,3252.0,-0.9931262731552124,TV5,MLC Elections 2023,0,0,0,0
pL598SLPP60,2023-03-17,155.0,27.0,37288.0,-0.9974707365036012,TV5,MLC Elections 2023,0,0,0,0
N2MCRUvG8pw,2023-03-13,129.0,6.0,88856.0,0.9880009293556212,TV9,MLC Elections 2023,0,0,0,0
33NOEqLxt-M,2023-03-17,314.0,34.0,48787.0,0.9984267950057985,ABN,MLC Elections 2023,0,0,0,0
1rZ9tG10z1c,2023-03-14,310.0,1.0,1084.0,-0.9982377290725708,TV5,MLC Elections 2023,0,0,0,1
DGDVWtQSzsA,2023-03-25,197.0,54.0,101705.0,-0.9980446100234984,ABN,MLC Elections 2023,0,0,0,0
ALX0vNQDex0,2023-03-30,158.0,71.0,51744.0,-0.9985106587409972,Sakshi,MLC Elections 2023,0,0,0,0
9auu59bqWzk,2023-02-21,218.0,3.0,67958.0,-0.9875405430793762,TV9,MLC Elections 2023,0,0,0,0
e3b7cTpL8lY,2023-03-18,228.0,31.0,75669.0,0.998077154159546,TV5,MLC Elections 2023,0,0,0,0
z9LSHOvN9gU,2023-03-17,100.0,75.0,110372.0,0.9982941746711732,TV5,MLC Elections 2023,0,0,0,0
pGYkQzFv_cs,2023-03-13,2660.0,143.0,150864.0,-0.9896765351295472,TV5,MLC Elections 2023,0,0,0,0
WwrTFtAM0T8,2023-03-17,322.0,9.0,5376.0,-0.9928568601608276,TV5,MLC Elections 2023,0,0,0,0
TsZAyRO1HxI,2023-03-13,41985.0,11.0,90524.0,-0.9835055470466614,TV5,MLC Elections 2023,0,0,0,0
uiw5dPriiXc,2023-04-04,280.0,10.0,6845.0,0.997779905796051,TV5,MLC Elections 2023,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,MLC Elections 2023,0,0,0,0
N4hXamH4718,2023-03-14,230.0,2.0,2104.0,-0.9984557628631592,TV5,MLC Elections 2023,0,0,0,0
XFrTeya4lh4,2023-03-18,337.0,115.0,67631.0,-0.9994091987609864,TV5,MLC Elections 2023,0,0,0,0
YF5L9f9U1sU,2023-03-13,210.0,0.0,4106.0,-0.9873522520065308,TV5,MLC Elections 2023,0,0,0,0
u7a1ogUJG0s,2023-03-29,208.0,16.0,160035.0,0.990617334842682,TV9,MLC Elections 2023,0,0,0,0
tu044GmzKpk,2023-03-18,211.0,0.0,3409.0,-0.99212646484375,ABN,MLC Elections 2023,0,0,0,0
_tzAT-WaUXU,2023-03-11,216.0,3.0,34909.0,-0.9982752799987792,TV9,MLC Elections 2023,0,0,0,0
Ra9E1BAdUcM,2023-03-13,175.0,30.0,9950.0,-0.9941192865371704,TV5,MLC Elections 2023,0,0,0,1
SJpdfAxtQa4,2023-03-18,241.0,3.0,14873.0,0.993955671787262,ABN,MLC Elections 2023,0,0,0,0
gYjSHfBljUk,2023-03-18,243.0,11.0,15559.0,0.9706887602806092,TV9,MLC Elections 2023,0,0,0,0
HFudST7hBn8,2023-03-23,111.0,190.0,604482.0,-0.9942725896835328,ABN,MLC Elections 2023,0,0,0,0
J5sQcj5ftoQ,2023-03-23,196.0,13.0,135672.0,-0.979074776172638,TV9,MLC Elections 2023,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,MLC Elections 2023,0,0,0,0
yqXXTAeFDrs,2023-03-17,121.0,94.0,118588.0,0.9969227910041808,TV5,MLC Elections 2023,0,0,0,0
K453bYSyj14,2023-03-12,248.0,23.0,18130.0,-0.990441918373108,ABN,MLC Elections 2023,0,0,0,0
1rqOyFHjv9Y,2023-03-11,263.0,15.0,2294.0,-0.9953321814537048,TV9,MLC Elections 2023,0,0,0,0
5sSOfiop-H8,2023-03-14,3970.0,6.0,11331.0,-0.9986359477043152,TV5,MLC Elections 2023,0,0,0,0
RXu0Ex4myAo,2023-03-17,330.0,3.0,2952.0,0.9932034015655518,TV5,MLC Elections 2023,0,0,1,0
-MeEuRJMRTg,2023-03-19,210.0,6.0,7892.0,0.9968917965888976,TV5,MLC Elections 2023,0,0,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,MLC Elections 2023,0,0,0,0
IUz9yG2ofso,2023-02-22,191.0,8.0,69414.0,-0.983812689781189,TV9,MLC Elections 2023,0,0,0,0
Cx30CY4i3_A,2023-03-17,315.0,25.0,31946.0,-0.9980074763298036,TV9,MLC Elections 2023,0,0,0,0
j6rY5cfvitc,2023-03-13,440.0,99.0,69486.0,0.9960220456123352,TV5,MLC Elections 2023,0,0,0,0
I5k--lfQnQ8,2023-02-25,279.0,24.0,16447.0,0.9980746507644652,Sakshi,MLC Elections 2023,0,1,0,0
cMeBjuzhSE0,2023-03-18,96.0,272.0,38580.0,0.9877809286117554,TV9,MLC Elections 2023,0,0,0,0
iqm1hTsc4_0,2023-03-23,205.0,2.0,2127.0,0.5778980255126953,TV5,MLC Elections 2023,0,0,0,0
riGvgs1teaE,2023-03-17,257.0,4.0,2509.0,0.7239248156547546,TV5,MLC Elections 2023,0,0,0,0
ctAySrQayLE,2023-03-11,199.0,25.0,6560.0,0.9936395287513732,TV5,MLC Elections 2023,0,0,0,0
rdTuV3_18lI,2023-03-22,169.0,24.0,20885.0,-0.9988129138946532,TV5,MLC Elections 2023,0,0,1,0
xC0IKSO8-n8,2023-03-17,9200.0,10.0,55115.0,0.9968335032463074,TV5,MLC Elections 2023,0,0,0,0
lfGPO1uwjjk,2023-03-18,225.0,11.0,18705.0,0.998696744441986,ABN,MLC Elections 2023,1,0,0,0
yUtBpqGmJcU,2023-03-16,365.0,11.0,54903.0,0.990190088748932,TV5,MLC Elections 2023,0,0,0,0
