ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,machillipatnam.png,tenali.png,kodur.png,venkatagiri.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,gudivada.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,paderu.png,sambasivarao.png,tekkali.png
Y789V9kYkFY,2022-04-20,363.0,29.0,37666.0,0.9968039989471436,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZiPR6Dg2B38,2023-01-18,236.0,2.0,2257.0,0.997068464756012,TV9,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zbjjk04IqAM,2022-01-01,207.0,60.0,10636.0,-0.9967430233955384,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YqnKhMrAWuc,2023-02-15,395.0,1.0,1529.0,-0.943168878555298,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wsIykNE151c,2023-01-15,59.0,0.0,3653.0,-0.9950646758079528,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNMuB_fj_qo,2023-03-03,98.0,61.0,75008.0,0.9987403750419616,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12PSkF-Hhcg,2022-11-08,522.0,81.0,52002.0,0.9921733140945436,Sakshi,Machilipatnam,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_qCfh7k4M4,2022-12-10,249.0,0.0,2248.0,-0.9967954754829408,TV9,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciWgFoHCKsk,2022-10-28,5212.0,6.0,18858.0,-0.9975900650024414,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cGWQLdZtf3Q,2021-12-20,47.0,1.0,1897.0,0.9912328124046326,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
fH_8vbKXCOM,2022-11-25,224.0,8.0,2445.0,0.9962555170059204,TV9,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TptRcMQhXdo,2023-01-11,319.0,244.0,114952.0,-0.9980319142341614,Sakshi,Machilipatnam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9TfR2rm3pTY,2022-11-23,192.0,14.0,3191.0,-0.9994474053382874,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
