ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,eluru.png,venkat_krishna.png,palakollu.png,penamaluru.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,murthy.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,nandyal_l.png,nandikotkur.png,tekkali.png,jammalamadugu.png,denduluru.png,pawan.png
YWZMqOZnLvM,2022-12-30,349.0,5.0,2192.0,-0.8173056840896606,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4X4HrsOjIsg,2021-02-21,216.0,1.0,1730.0,0.998343586921692,Sakshi,election commission,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dUoaCxcxByE,2021-02-15,329.0,8.0,15130.0,0.9961309432983398,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFaC0IHUxAE,2022-11-08,175.0,0.0,505.0,-0.995089590549469,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rAc7NeKEyNc,2022-11-21,44.0,1.0,373.0,0.995681881904602,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pBpR_8lMfvE,2022-12-08,190.0,0.0,3435.0,0.9932957291603088,TV9,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CnrcNOSuCX0,2021-02-16,308.0,5.0,8359.0,0.9952054023742676,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nPwhWCPZtmg,2023-02-02,224.0,56.0,78300.0,0.9969778060913086,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bvraJRxvDWY,2020-03-07,1023.0,83.0,913490.0,-0.9670684337615968,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUEJxtlqI3E,2021-02-19,117.0,34.0,33974.0,0.9846342206001282,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zscFdlHQ2w0,2022-12-05,286.0,0.0,258.0,0.9982615113258362,TV9,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tZr1somGR_I,2022-11-24,170.0,2.0,1041.0,-0.9913148283958436,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g32JKcS3ooE,2022-11-03,312.0,1.0,4599.0,0.967221975326538,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kPYfOzZ_dCA,2023-02-11,275.0,11.0,7182.0,-0.9937115907669068,ABN,election commission,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
XRnbHkv63ec,2022-09-21,73.0,149.0,60582.0,-0.9974210262298584,TV5,election commission,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XfNgD_T_wAI,2023-01-31,305.0,8.0,4565.0,-0.9873206615447998,ABN,election commission,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
CgOE6O2jaLM,2021-02-17,188.0,1.0,14116.0,0.9976388216018676,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2JD_6PgdF5w,2022-11-03,212.0,0.0,446.0,-0.9986698627471924,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
