ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,chintalapudi.png,tadikonda.png,palakollu.png,pulivendula.png,kanigiri.png,singanamala.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,vijayawada_east.png,kurupam.png,paderu.png,sambasivarao.png,tekkali.png
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lLJ6J3-dNz0,2022-11-19,448.0,2.0,2868.0,-0.998527765274048,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pz5uGsB7YBs,2022-08-24,75.0,0.0,1067.0,-0.9971996545791626,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3q7QL2MFGc,2023-01-08,337.0,1.0,3038.0,0.9982554316520692,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,Vidadala Rajini,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
JMrQhiuyWXY,2022-10-26,27491.0,6.0,116490.0,-0.9930124878883362,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xD2ZnYJO2hQ,2022-12-17,277.0,4.0,1329.0,-0.9938621520996094,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
rxCgzxLdya4,2023-02-09,238.0,0.0,584.0,-0.9984819293022156,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fDpdZRIv8lU,2023-02-10,310.0,43.0,17034.0,-0.9893362522125244,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5WqtyuhQbjs,2022-09-21,137.0,20.0,7035.0,-0.9919911026954652,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8sv-OHZ_-U,2023-01-20,143.0,1.0,3367.0,0.9981775283813475,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lTk9V4YmQ-8,2022-07-13,167.0,64.0,21941.0,0.9977832436561584,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ESij1HKUXc,2022-10-26,631.0,6.0,1414.0,0.9891441464424132,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnvTA5tRw4o,2022-04-22,262.0,100.0,131189.0,0.995287299156189,Sakshi,Vidadala Rajini,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
GqwOFZKAZEc,2022-09-22,260.0,20.0,7598.0,-0.9994725584983826,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn4rNP6DU20,2022-06-25,1098.0,52.0,22605.0,0.994553565979004,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DzBdPyOczIQ,2022-11-07,270.0,3.0,1797.0,0.9978623986244202,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR4IOb2Fb-U,2022-09-24,179.0,0.0,1421.0,0.9987670183181764,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omCWeuNUV_U,2023-01-11,99.0,36.0,4708.0,-0.9960002303123474,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3OjWmM6MZQ,2023-01-01,191.0,11.0,4198.0,-0.9978072047233582,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vuSRTwp2C4s,2022-12-17,169.0,24.0,14607.0,-0.966105043888092,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56ag6cqBOgU,2022-12-29,300.0,3.0,4662.0,-0.9974092841148376,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6cUBHZnmX0,2022-10-16,210.0,0.0,559.0,-0.9915981292724608,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
x0k_yUyPzXw,2023-02-13,111.0,105.0,21773.0,0.9966094493865968,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yMZ1SnkmAN8,2022-06-15,133.0,6.0,18899.0,-0.9724909663200378,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u7rkeMOfjz8,2022-10-07,514.0,6.0,3533.0,0.9978491067886353,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
qLJW5-FOHW4,2022-12-16,245.0,77.0,69939.0,-0.9976401329040528,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lL45LgAfGto,2021-11-06,101.0,9.0,5499.0,0.9964290261268616,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r5KyXASIsYo,2023-01-13,289.0,15.0,16295.0,-0.9946622252464294,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GtPmtVrTDxI,2022-11-06,172.0,218.0,60449.0,0.8195741176605225,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5hg6yrOoJhM,2022-10-02,522.0,13.0,20100.0,0.9965717792510986,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZmgP5FOcnRw,2022-04-18,74.0,108.0,426210.0,0.9973451495170592,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ID_6QQUR3Gg,2022-07-08,192.0,57.0,106275.0,0.996022403240204,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2erVF3NBP0s,2023-03-16,132.0,60.0,54458.0,-0.9914152026176452,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4F3BPk7w7IM,2022-11-10,287.0,1.0,1318.0,0.9972984194755554,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKG1L54V1pg,2022-06-01,316.0,17.0,3650.0,0.9984717965126038,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fd0mb73Q2Ug,2022-11-22,211.0,6.0,34382.0,-0.997994303703308,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ytBwPbWGOvc,2023-01-09,365.0,20.0,2547.0,-0.9954948425292968,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X0YB8ATFYJE,2023-03-04,101.0,23.0,35828.0,0.9975175857543944,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2yIxp8EtD78,2022-10-26,510.0,311.0,148632.0,-0.9994766116142272,TV5,Vidadala Rajini,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
UXv8wQKQrww,2022-04-23,295.0,629.0,313351.0,-0.9983717799186708,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C5S4jCRt9YU,2023-02-04,180.0,29.0,21150.0,0.9897415637969972,Sakshi,Vidadala Rajini,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1
GWW5APwkKr0,2023-03-07,1552.0,3.0,2498.0,0.9988433122634888,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UuaNfeEl9lM,2023-01-24,122.0,2.0,4350.0,0.989245593547821,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326L4UIkIOI,2022-11-29,260.0,8.0,2678.0,-0.9980310797691344,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wuEkxoVFOvk,2023-01-22,295.0,48.0,25094.0,0.9976237416267396,TV5,Vidadala Rajini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gUx_wlr422U,2023-02-04,276.0,0.0,922.0,0.9960466027259828,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R7YqoOPUvK4,2022-10-27,294.0,4.0,860.0,0.9981223940849304,Sakshi,Vidadala Rajini,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0
fbZxGwZn1Po,2023-03-19,339.0,99.0,99741.0,0.997858464717865,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
opRsu4_20Bk,2023-01-14,119.0,0.0,1946.0,0.985365867614746,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LkMjabJSdkg,2022-12-01,535.0,38.0,11132.0,0.9936609268188475,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
oHdFQyg3Ctw,2023-01-17,278.0,92.0,28017.0,-0.997966170310974,TV9,Vidadala Rajini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbx8nI2o5Jk,2022-09-20,260.0,21.0,15195.0,0.9931288957595824,TV5,Vidadala Rajini,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r2w_a87LUrM,2023-03-16,130.0,45.0,77776.0,-0.9908086657524108,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGm6_pkj6x0,2022-07-08,858.0,86.0,73753.0,0.9947708249092102,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xu2BTPlnq2E,2022-10-20,210.0,12.0,3908.0,-0.9991509914398192,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nwd787queb0,2023-01-16,180.0,3.0,39421.0,0.99775367975235,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZHUBaXpoUvY,2023-03-29,85.0,0.0,571.0,0.9979806542396544,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rJuub74PAuM,2022-09-02,181.0,7.0,1493.0,0.997093915939331,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wWG7CRjo9Nk,2022-11-18,213.0,16.0,12508.0,0.9968286156654358,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMfzHm9Zkiw,2022-12-15,323.0,0.0,1376.0,0.9980668425559998,Sakshi,Vidadala Rajini,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
vWZyttM_lDY,2022-10-22,304.0,22.0,7637.0,0.9941363334655762,Sakshi,Vidadala Rajini,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q0IMftlYq5s,2023-01-01,299.0,10.0,6345.0,-0.9895451664924622,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3xxagJrYGjk,2022-07-23,105.0,44.0,164607.0,0.9956319332122804,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gKKqFS5fJQ0,2022-06-15,66.0,9.0,27115.0,0.9843872785568236,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NudTW6OpbrI,2022-09-22,105.0,51.0,38429.0,-0.6868539452552795,TV5,Vidadala Rajini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Vidadala Rajini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms2QYJucdOk,2021-02-20,129.0,2.0,426.0,0.995482325553894,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIC0zRSKD-A,2022-03-08,128.0,59.0,130950.0,0.9978379607200624,Sakshi,Vidadala Rajini,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zf3V4rsRwKk,2023-01-24,210.0,5.0,3973.0,-0.997394561767578,ABN,Vidadala Rajini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pd-w1mCsu-s,2023-01-29,164.0,10.0,5781.0,-0.9977624416351318,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
XZmMWCEBfGs,2022-12-10,295.0,6.0,11632.0,-0.988419771194458,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s5iKP5nRFyY,2022-12-29,265.0,2.0,9113.0,-0.9972261786460876,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPTJyJXO_jg,2023-02-04,157.0,92.0,48623.0,-0.9990895986557008,Sakshi,Vidadala Rajini,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NxBW_rnX_9k,2022-10-14,75.0,0.0,720.0,0.9912817478179932,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHTMTXI_Ams,2023-01-01,18545.0,2.0,119084.0,0.9978925585746764,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCYaPdpDEok,2022-11-09,80.0,1.0,2200.0,-0.9895328283309937,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Vidadala Rajini,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rag3p1Oe5rQ,2021-12-02,170.0,5.0,7117.0,0.997490406036377,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRbpUHi8eMA,2023-03-16,156.0,313.0,383464.0,0.9954261183738708,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
YL296-2A1jM,2022-12-16,402.0,9.0,1830.0,0.997655749320984,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjs6hWAGCAE,2022-08-30,210.0,1.0,1771.0,-0.9989429116249084,TV5,Vidadala Rajini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pecxf7U9VYo,2022-05-28,159.0,498.0,135977.0,-0.9980100989341736,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
QIpgCsLMq1Q,2023-03-14,180.0,3.0,12855.0,0.9821158647537231,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
n2xTaRIxwUQ,2022-12-16,150.0,25.0,23045.0,0.9935856461524964,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
774mOK6PxIw,2023-03-25,320.0,15.0,9063.0,-0.997334599494934,TV5,Vidadala Rajini,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F7IXUzeZA04,2022-09-08,288.0,72.0,76673.0,-0.998736560344696,Sakshi,Vidadala Rajini,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
aseGEkoZJfU,2023-04-22,196.0,8.0,10738.0,0.9911330342292786,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PojTviL0Q9g,2022-09-10,91.0,8.0,5698.0,-0.9977620840072632,Sakshi,Vidadala Rajini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0k9B9YpoeM,2023-04-06,17126.0,26.0,37818.0,0.9981287121772766,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icret96cdas,2023-03-28,206.0,2.0,3114.0,-0.997552216053009,ABN,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vsSSPE2-s5c,2023-01-09,482.0,18.0,2742.0,-0.8865793347358704,Sakshi,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Vidadala Rajini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uMwZVGuZ_h0,2022-11-11,311.0,26.0,10743.0,0.9987263083457948,Sakshi,Vidadala Rajini,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
