ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kakinada.png,palakollu.png,gudivada.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png,pawan.png,Narasannapeta.png
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
wBfPfMzYwNE,2022-12-31,386.0,2.0,3627.0,0.9987718462944032,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
JzHnoExM_D8,2022-11-15,92.0,0.0,2306.0,0.9960149526596068,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
oOmDi8l_D7Q,2022-09-05,90.0,0.0,2114.0,0.9973599314689636,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Kl716JI5prc,2021-10-23,393.0,60.0,11875.0,-0.9994192123413086,Sakshi,bonda uma ,0,1,0,0,0,0,1,0,0,0,0
z3oi4YOtnFA,2022-10-07,105.0,3.0,387.0,-0.9994587302207948,TV5,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
96xyJrLPXBY,2022-11-07,60.0,1.0,254.0,-0.9957770109176636,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Hw0zcna7cHs,2021-07-23,386.0,28.0,28067.0,-0.990359902381897,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
ZLkv0QcIsWk,2022-12-05,84.0,0.0,5667.0,0.9983508586883544,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,bonda uma ,0,0,0,0,1,0,0,0,0,0,0
nITT0PBNqFQ,2022-08-15,86.0,3.0,5295.0,0.9979019165039062,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
SYKFDi_RAFo,2021-11-17,73.0,4.0,5119.0,0.9985499978065492,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
c9olvmA2q-g,2022-10-22,316.0,13.0,8955.0,-0.9859963059425354,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
SCDu1HgJRLk,2022-11-17,75.0,1.0,639.0,-0.9969689249992372,ABN,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
LT5_l8RnBJ8,2023-01-21,144.0,0.0,1185.0,0.9964744448661804,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
-dReNwkvyrM,2023-04-19,132.0,12.0,14093.0,0.996772825717926,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
8UuzrtoV2u0,2022-12-03,42.0,0.0,439.0,-0.9916312098503112,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
zqK_YTQGmx4,2023-02-14,190.0,30.0,14330.0,-0.9886807203292848,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,bonda uma ,0,1,1,0,0,1,1,0,0,0,0
wzdO-Hzjw5s,2023-02-19,55.0,2.0,3686.0,0.9984190464019777,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,1
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
e3P03K35mYM,2023-01-11,230.0,13.0,18207.0,-0.9712977409362792,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
xFfiXDiJ8EY,2023-01-04,73.0,3.0,2494.0,-0.998783528804779,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
8bPoJMGjLXE,2023-01-10,300.0,1.0,868.0,-0.9979758858680724,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
T8tHHIFdagE,2023-02-19,210.0,3.0,9082.0,0.9977476000785828,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
zBH-3bCULok,2022-09-08,178.0,2.0,2718.0,-0.9937946796417236,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
oSAspjpVW_E,2023-02-21,253.0,16.0,9118.0,-0.9984935522079468,ABN,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
lkdK6vmV--Q,2023-02-21,264.0,5.0,2372.0,-0.9988607168197632,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
s07MooLK40w,2023-01-09,277.0,83.0,286245.0,0.997529923915863,TV5,bonda uma ,0,0,0,0,0,1,0,0,0,0,0
k0lD7rBcH0s,2022-12-23,80.0,0.0,2158.0,-0.9960358738899232,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
sZWdrW-BMl8,2023-02-21,298.0,12.0,1584.0,-0.9991148114204408,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Rzi5Ft6qJUw,2023-03-03,311.0,2.0,1830.0,0.9980313181877136,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
jW1TuDOfgow,2022-12-26,299.0,0.0,3324.0,-0.9975058436393738,ABN,bonda uma ,0,0,0,0,0,0,1,0,0,0,0
AXhKSEGrLRY,2023-01-28,87.0,64.0,146125.0,0.9935802221298218,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
OMZ2wVBrbPg,2023-04-08,195.0,5.0,944.0,-0.9985222220420836,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
EdzItq8cVwo,2022-12-19,50.0,0.0,807.0,-0.9732342958450316,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
5BV63VZiy_I,2022-11-03,313.0,12.0,10103.0,-0.9875959157943726,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
9tEmvn0ZwPo,2022-12-20,204.0,0.0,1292.0,0.9970394968986512,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
yhUEIB3VutU,2022-11-29,110.0,3.0,2968.0,0.9884383082389832,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
v7-dcpfNg7I,2023-04-01,224.0,3.0,635.0,-0.9977589845657348,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
eT09fDpj1mA,2023-01-24,74.0,0.0,798.0,-0.9975457787513732,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
GqcpMR2VkrM,2022-12-07,233.0,9.0,3396.0,0.998146653175354,Sakshi,bonda uma ,0,0,0,0,1,0,0,0,0,0,0
khaWxZp5wxs,2022-12-15,97.0,2.0,3115.0,0.98460590839386,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
SFVvN93Or6M,2022-12-07,49.0,1.0,429.0,-0.9908217191696168,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Hz_PwMwM_-8,2023-02-25,265.0,1.0,709.0,-0.997693121433258,TV9,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
LgJ8qiUQECQ,2023-01-21,128.0,0.0,273.0,0.9981330037117004,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
arCbJtdHpsk,2022-11-26,49.0,8.0,1566.0,0.9954842329025269,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
4yGQ1l_0588,2022-01-22,808.0,141.0,26968.0,0.9948829412460328,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
-mGvuEXDmDQ,2023-03-26,206.0,130.0,44784.0,-0.9972018003463744,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
mBW0Ic1owwc,2023-02-19,285.0,0.0,1313.0,-0.99601411819458,TV9,bonda uma ,0,0,0,0,0,0,0,0,1,0,0
hIaovz9XyE0,2023-04-05,110.0,0.0,2629.0,0.9881068468093872,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
jYJTCA4hrzY,2022-11-20,209.0,32.0,10434.0,-0.9977638721466064,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Q_ynDmOkqZA,2023-04-07,3821.0,1.0,1932.0,-0.9976715445518494,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
3ufwdJEOhd0,2022-11-03,104.0,9.0,2322.0,-0.998449206352234,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
ypriPFPyKuk,2022-08-23,9395.0,35.0,26900.0,-0.9089716076850892,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
BfsbphO5dpI,2022-12-14,107.0,1.0,310.0,-0.9976814985275269,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
obaMltoMUjI,2023-01-12,215.0,18.0,5102.0,-0.996903121471405,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
5TaI8SY43xk,2023-01-29,75.0,8.0,2413.0,0.9960887432098388,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
LPJR5Unk1TI,2023-02-23,226.0,3.0,4201.0,-0.99153333902359,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
usv98Q7BMgs,2023-01-25,195.0,56.0,47325.0,-0.9929532408714294,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
J85p-QIquTs,2023-03-18,117.0,22.0,26050.0,-0.998949944972992,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
vAwY9f7C66I,2023-03-03,235.0,1.0,1673.0,0.9973165392875672,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
5kk23b522Rs,2021-10-25,64.0,4.0,471.0,-0.9992105960845948,Sakshi,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
8QzsiVPvSfk,2023-03-30,53.0,4.0,2604.0,-0.997391939163208,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
eZeKIn06tAk,2023-02-12,108.0,3.0,4941.0,0.9967564940452576,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
SW71ShWbOL4,2022-10-19,171.0,1.0,2134.0,-0.9983463287353516,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
5wRLmxTlA0E,2023-03-23,283.0,1.0,10342.0,-0.9992501139640808,TV9,bonda uma ,0,0,0,0,0,0,0,1,0,0,1
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,bonda uma ,0,0,0,0,0,0,0,1,0,0,0
neCh7o4q18Y,2023-04-07,130.0,16.0,19265.0,0.9987560510635376,TV5,bonda uma ,0,0,0,0,0,0,0,0,1,0,0
b6rZvof72Wg,2022-01-22,341.0,430.0,72262.0,-0.9989842772483826,Sakshi,bonda uma ,0,0,0,1,0,0,0,0,0,0,0
D3q8DAB36zQ,2022-10-19,142.0,2.0,1524.0,-0.998946487903595,ABN,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
9TRCFVHemuc,2023-03-13,309.0,5.0,3594.0,-0.999468982219696,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
