ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,punganur.png,raptadu.png,kurnool.png,vizianagaram_.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,Advocate _Sravan Kumar.png,guntur_east.png,narsapuram_l.png,eluru.png,venkat_krishna.png,palakollu.png,pedakurapadu.png,macherala.png,Nellimarla.png,penamaluru.png,myudukur.png,pulivendula.png,vinukonda.png,sarvepalli.png,kaikuluru.png,unguturu.png,mangalagiri.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,pamarru.png,nandikotkur.png,tadepalligudem.png,sambasivarao.png,tekkali.png,hindupur.png,denduluru.png,pawan.png,kakinada_city.png,Narasannapeta.png
jv7Ubc4lqHA,2022-09-28,205.0,292.0,128617.0,-0.9993763566017152,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tAMFK8La5ko,2023-02-09,315.0,57.0,40214.0,-0.9860871434211732,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E5-aAzY1izs,2023-01-31,176.0,16.0,5841.0,-0.9979198575019836,ABN,raghurama ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5EvVqeQdrMs,2022-11-11,201.0,1.0,2511.0,-0.9946480393409728,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rjfK-kLsuy0,2023-01-11,305.0,24.0,23155.0,-0.9904593229293824,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eNdAY3oz6nE,2022-12-10,14157.0,3.0,10815.0,0.9913952946662904,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LrUD5TL11CM,2023-02-06,110.0,0.0,166.0,-0.997940957546234,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H7aB7fpYC7U,2022-10-11,230.0,40.0,31174.0,-0.9813489317893982,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tOgOe_0whNs,2022-10-29,22680.0,35.0,51892.0,0.9881343245506288,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leUzr8kEE2U,2023-02-07,425.0,105.0,87791.0,0.998097002506256,TV5,raghurama ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kYA0ydOwGCE,2023-01-10,245.0,4.0,2599.0,-0.9952599406242372,TV5,raghurama ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cAlsL_i-NgY,2023-01-23,190.0,22.0,25375.0,0.9850621223449708,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
G2xCv79gqsY,2022-10-08,175.0,70.0,28478.0,-0.9980649352073668,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3tyT1iIJIW8,2022-12-13,245.0,2.0,2099.0,-0.9984588623046876,ABN,raghurama ,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Tcclei0Yn_g,2022-11-30,250.0,10.0,2683.0,-0.9981414079666138,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
zimx9lMzFyI,2023-02-05,279.0,0.0,562.0,-0.9979026317596436,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eTdybTLY-fc,2022-09-27,290.0,101.0,47907.0,-0.998402178287506,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
j4hAzHr1t54,2023-02-01,250.0,37.0,38209.0,0.9949317574501038,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
CTaGO7CAG2Q,2023-02-06,351.0,30.0,208232.0,0.9979839324951172,Sakshi,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aO1GrQM1ix0,2022-11-21,206.0,1.0,1526.0,0.5376472473144531,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zjFw2EARES4,2023-02-11,265.0,3.0,3101.0,-0.9977794289588928,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8wc79pV0o_8,2022-12-14,18440.0,5.0,19487.0,0.7281419038772583,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QZnayEsVf4s,2023-01-06,165.0,0.0,5490.0,-0.9949249029159546,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jmlheirq_rs,2023-01-02,13610.0,0.0,12568.0,0.992470383644104,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUXjmKwkbNA,2023-01-23,120.0,3.0,2566.0,-0.9950492978096008,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G56o8xBaWRI,2022-11-23,200.0,37.0,17007.0,0.9891852140426636,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
pQJ-fQaMAq8,2023-02-17,105.0,175.0,162367.0,0.9943941831588744,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2LG4uO4MDrU,2022-10-26,290.0,6.0,2119.0,0.9953969120979308,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eGkZOGJrUcM,2022-11-07,42895.0,5.0,59574.0,0.9886715412139891,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SElgc79L3Vk,2022-12-07,166.0,0.0,3590.0,-0.9974626302719116,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15iuCiB1iMk,2022-12-15,145.0,1.0,664.0,-0.998258411884308,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FQxysMDievw,2022-10-12,185.0,0.0,3522.0,-0.998779833316803,ABN,raghurama ,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7BcPHCWs-lo,2023-01-10,340.0,13.0,9158.0,-0.9968665242195128,TV5,raghurama ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EyOb9FaJQSo,2022-11-24,42898.0,7.0,80370.0,0.9883732199668884,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCPXQfQrv_I,2022-11-23,190.0,25.0,18830.0,-0.998475968837738,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QDHBLe1SCYA,2022-12-12,317.0,16.0,4877.0,-0.997731626033783,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89P-Xez-WcE,2023-01-04,145.0,7.0,6250.0,-0.9978713989257812,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIDVZa63vSE,2022-11-08,210.0,58.0,33220.0,-0.9937893748283386,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1yVgeYn0IdI,2022-11-25,200.0,37.0,12929.0,0.9955079555511476,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_H-d0GQwZo,2023-01-11,340.0,3.0,2958.0,-0.998678743839264,ABN,raghurama ,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I_2h09SGA4E,2023-04-17,281.0,12.0,892.0,-0.9931825995445251,Sakshi,raghurama ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Sxh49whWw0,2022-12-29,310.0,7.0,8141.0,-0.9971565008163452,ABN,raghurama ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V9NTRVYKFho,2023-01-20,274.0,1.0,1476.0,-0.9928810596466064,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vxMhhMwFT_k,2022-11-22,190.0,1.0,1910.0,0.99710351228714,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4gBn799Zitc,2022-12-22,495.0,0.0,1160.0,0.9958425164222716,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
PH-qPEu7_OU,2022-09-19,110.0,11.0,3651.0,0.9955429434776306,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSgkob4C4HU,2023-02-05,320.0,2.0,613.0,-0.9844510555267334,TV9,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AZ1PBUYRmU,2022-09-14,190.0,33.0,16549.0,0.9969204664230348,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YyLZWrluZQw,2022-11-23,255.0,146.0,79779.0,0.9836509823799132,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sJ1DI5Vtazw,2023-02-19,211.0,10.0,17060.0,0.9964057207107544,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tO4mGgBe9l8,2023-02-07,320.0,4.0,4398.0,-0.997647225856781,ABN,raghurama ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tScntqojqp8,2022-10-02,185.0,23.0,11689.0,-0.9989377856254578,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GqwOFZKAZEc,2022-09-22,260.0,20.0,7598.0,-0.9994725584983826,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2UcWhyH2RM,2023-01-05,11782.0,1.0,20343.0,0.9922513365745544,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9XV73okD7Nc,2022-12-08,5000.0,0.0,3363.0,-0.9994577765464784,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wBisFNfE-u0,2022-10-23,205.0,1.0,2653.0,-0.9977777600288392,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAIzmXpU9DY,2022-10-21,90.0,38.0,14010.0,0.9810472130775452,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYzgWdndx8s,2023-01-02,370.0,11.0,17639.0,-0.9984145164489746,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NdjDUDjWSqE,2022-11-22,235.0,2.0,737.0,-0.9990886449813844,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
zLcJW-WJK3g,2023-01-31,139.0,9.0,15474.0,-0.9978836178779602,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xU-qx2AV2z0,2022-11-26,310.0,19.0,3254.0,-0.996220052242279,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C4VFa6dU_Q,2022-12-18,167.0,0.0,1314.0,-0.998744249343872,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wliIqYj13QI,2023-01-13,32168.0,27.0,61924.0,0.9873194694519044,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pJhculv_ODQ,2023-01-06,150.0,1.0,2061.0,-0.9893082976341248,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oN021HN92p0,2022-02-09,197.0,366.0,131932.0,-0.9994623064994812,Sakshi,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2KS5V2VbNw,2023-01-24,445.0,65.0,44847.0,-0.9980133771896362,TV5,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
K0FOorXHZbc,2023-01-31,124.0,45.0,31016.0,-0.9949570298194884,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KT_K8Tuvdh4,2022-11-22,140.0,33.0,10075.0,-0.9975146055221558,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rVHJ03d_01Y,2023-02-08,285.0,45.0,37187.0,-0.9992333650588988,ABN,raghurama ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
