ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,kodur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,chintalapudi.png,eluru.png,palakollu.png,penamaluru.png,myudukur.png,Rajam.png,jaggampeta.png,kanigiri.png,Pendurthi.png,kalayan_durg.png,pedana.png,kaikuluru.png,Etcherla.png,tekkali.png
ObwvQXJkOcY,2022-12-06,85.0,12.0,3187.0,-0.9947911500930786,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q-JvX3iwzVk,2022-11-05,595.0,68.0,40558.0,-0.9983025789260864,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pQZmg_kOoQs,2022-04-25,863.0,98.0,23068.0,0.9977182149887084,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXhKSEGrLRY,2023-01-28,87.0,64.0,146125.0,0.9935802221298218,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS-LbOyA7Uw,2022-11-20,260.0,47.0,15061.0,0.9955969452857972,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lvnNag3Vjz8,2022-11-04,378.0,7.0,16240.0,-0.9980934262275696,TV5,ayyanna patrudu ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCjF3dY_HGM,2022-01-23,121.0,152.0,55541.0,-0.9931683540344238,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XYUNpKVU-84,2022-11-19,150.0,4.0,3111.0,-0.9978931546211244,TV5,ayyanna patrudu ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fU4s-XtBzl4,2022-10-19,190.0,131.0,143334.0,-0.9961710572242736,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5BV63VZiy_I,2022-11-03,313.0,12.0,10103.0,-0.9875959157943726,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y2TsPfi607I,2022-11-03,416.0,2.0,1804.0,-0.9917084574699402,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6eaNDV0i2Hc,2022-10-15,625.0,32.0,9308.0,0.992339253425598,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rUgUEl_rpy8,2022-11-23,467.0,2.0,2655.0,0.9891080856323242,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jj8MAx9WdOI,2022-11-03,115.0,1.0,602.0,-0.9980661273002625,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
