ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,rajahmundry_rural.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png,denduluru.png
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afp_ZUi1V7E,2022-09-16,341.0,64.0,64641.0,-0.997050642967224,TV5,butchaiah chowdary,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
FkeBUhq8EKE,2022-12-14,323.0,2.0,2936.0,-0.9989068508148192,TV9,butchaiah chowdary,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
A232W5XIJ_o,2023-01-18,58.0,4.0,3420.0,-0.9985505938529968,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHqgf-MqbA,2023-03-04,85.0,0.0,2380.0,-0.9985108971595764,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yLO2kOcoT-U,2022-11-01,105.0,0.0,560.0,-0.998387336730957,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pUh_whsOHqs,2023-02-24,255.0,6.0,1846.0,-0.9935603141784668,Sakshi,butchaiah chowdary,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c6QOAGL76X4,2023-03-20,187.0,3.0,1314.0,-0.9991216063499452,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64YVyovC6Xc,2023-03-08,296.0,37.0,12806.0,-0.9980921149253844,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FzJF3NtBGI,2022-10-14,330.0,3.0,3733.0,-0.9896920323371888,ABN,butchaiah chowdary,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
hTjq5eE0Cww,2023-01-15,335.0,4.0,2938.0,-0.9986329674720764,TV9,butchaiah chowdary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Er1139O26Q,2022-12-02,287.0,18.0,23890.0,0.9923611283302308,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h16C8gqw-W8,2023-03-09,215.0,4.0,718.0,-0.998111128807068,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f01OP9TMIg,2022-01-29,117.0,42.0,55838.0,-0.9984992742538452,Sakshi,butchaiah chowdary,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
QAYkYUOU2EI,2023-01-02,265.0,8.0,2075.0,0.998630940914154,TV9,butchaiah chowdary,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CKboZnFgLak,2022-08-26,111.0,8.0,3170.0,-0.9974285960197448,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SceE6EE9eIo,2021-02-16,234.0,1.0,585.0,0.9931907057762146,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-uCxr69Q5Iw,2023-01-01,2381.0,0.0,1928.0,0.9899765849113464,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HlL1WYzEbys,2023-01-15,152.0,0.0,4128.0,0.9985916018486024,Sakshi,butchaiah chowdary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R4RxbJag2Cw,2022-12-13,86.0,0.0,291.0,-0.9979202151298524,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qLSQCNFCpJM,2023-01-25,190.0,4.0,1873.0,-0.9885132908821106,Sakshi,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aVxviY7Sj5U,2022-09-04,168.0,3.0,2438.0,0.992869198322296,TV5,butchaiah chowdary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
