ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,machillipatnam.png,venkatagiri.png,kakinada.png,pulivendula.png,pawan.png
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,megastar chiranjeevi,0,0,0,0,0
bGXer2xtiRk,2023-03-19,168.0,20.0,34476.0,0.998059093952179,ABN,megastar chiranjeevi,0,0,0,0,0
80WTmwrVrgY,2023-02-19,405.0,17.0,18437.0,0.9276237487792968,TV5,megastar chiranjeevi,0,0,0,0,0
UA7_X-IMu5I,2023-01-20,390.0,2.0,3678.0,0.9981106519699096,TV9,megastar chiranjeevi,0,0,0,0,1
j33d05YGm1A,2023-03-20,145.0,76.0,45137.0,0.9984040856361388,TV5,megastar chiranjeevi,0,0,0,0,0
pXk4m6UZEHc,2022-11-15,83.0,0.0,2937.0,-0.9918566942214966,TV5,megastar chiranjeevi,0,0,0,0,0
UoB1IRDFNp4,2022-12-29,78.0,1.0,1697.0,0.998527765274048,TV9,megastar chiranjeevi,0,0,0,0,0
uCL8Tf65IW8,2023-01-05,195.0,42.0,36905.0,-0.9976874589920044,TV5,megastar chiranjeevi,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,megastar chiranjeevi,0,0,0,0,0
yoC2NvQylcM,2023-01-14,257.0,5.0,5932.0,0.9974785447120668,TV9,megastar chiranjeevi,0,0,0,0,0
pUCA7A8v3GY,2023-03-19,168.0,30.0,57700.0,0.9985941052436828,ABN,megastar chiranjeevi,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,megastar chiranjeevi,0,0,0,0,0
KAyPmjoXL2g,2023-01-20,108.0,2.0,2051.0,-0.9800668954849244,TV9,megastar chiranjeevi,0,0,0,0,0
mC8LCccC85s,2022-11-20,100.0,78.0,56673.0,-0.9900386333465576,TV5,megastar chiranjeevi,0,0,0,0,0
73iJVaO2g1Y,2022-12-23,265.0,4.0,3361.0,-0.998427391052246,TV9,megastar chiranjeevi,0,1,0,0,0
nDTRfIc4FDI,2022-11-20,254.0,6.0,4146.0,-0.9990057349205016,TV9,megastar chiranjeevi,0,0,1,0,1
xnPowMsoDwE,2023-01-14,264.0,31.0,6714.0,-0.9994744658470154,TV9,megastar chiranjeevi,0,0,0,0,0
kjPkEIazp14,2023-01-13,58.0,4.0,1756.0,0.998375654220581,TV9,megastar chiranjeevi,0,0,0,0,0
pAei7sDhOpA,2023-03-16,354.0,5.0,30909.0,0.998220145702362,TV5,megastar chiranjeevi,0,0,0,0,0
-mOdpDRbmd0,2022-02-10,217.0,293.0,209144.0,0.997582197189331,Sakshi,megastar chiranjeevi,0,0,0,1,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,megastar chiranjeevi,0,1,0,0,0
pjeXrRWvjJU,2022-11-14,338.0,1.0,1880.0,0.998477041721344,Sakshi,megastar chiranjeevi,0,0,0,0,0
2NPLIoEqv40,2022-10-04,140.0,0.0,2176.0,0.9988425374031068,TV5,megastar chiranjeevi,0,0,0,0,0
HKNfMFT8jlA,2023-02-20,42895.0,3.0,185932.0,0.9979146122932434,Sakshi,megastar chiranjeevi,0,0,0,0,0
P1Bm7NKNLZM,2022-12-23,206.0,0.0,2000.0,0.997512698173523,TV9,megastar chiranjeevi,0,1,1,0,0
WBHM0_6YTro,2023-02-01,259.0,0.0,1744.0,0.9986547231674194,ABN,megastar chiranjeevi,0,0,0,0,0
Tm-ifYZUNy0,2023-03-17,121.0,91.0,40948.0,0.996620774269104,TV9,megastar chiranjeevi,0,0,0,0,0
Scn04V1ZflI,2023-01-13,62.0,2.0,4037.0,0.997880220413208,TV9,megastar chiranjeevi,0,0,0,0,0
jYGKO3PHnDk,2023-01-11,235.0,31.0,21561.0,-0.995909571647644,TV9,megastar chiranjeevi,0,0,0,0,1
5haMg7zCKwI,2023-03-18,128.0,133.0,221831.0,-0.9915314316749572,TV9,megastar chiranjeevi,0,0,0,0,0
PciqE40osqM,2023-01-28,370.0,2.0,889.0,0.9983313679695128,ABN,megastar chiranjeevi,0,0,0,0,0
5ieCGSYMUP8,2022-09-30,230.0,0.0,717.0,-0.9946982860565186,TV5,megastar chiranjeevi,0,0,0,0,0
2TO--uAuReg,2023-01-14,295.0,2.0,2636.0,0.9985795021057128,TV9,megastar chiranjeevi,0,0,0,0,0
LYIr6A3muY0,2023-01-27,298.0,404.0,102123.0,-0.997269570827484,Sakshi,megastar chiranjeevi,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,megastar chiranjeevi,0,0,0,0,0
uGZvYnWKxmU,2022-10-07,207.0,35.0,5067.0,-0.9967272281646729,TV5,megastar chiranjeevi,0,0,0,0,0
tmULZ0eJxvg,2022-10-29,280.0,168.0,56360.0,0.9850864410400392,TV5,megastar chiranjeevi,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,megastar chiranjeevi,0,0,0,0,0
xnnvHDzs0ts,2023-01-14,57.0,61.0,34205.0,0.9948613047599792,TV9,megastar chiranjeevi,0,0,0,0,1
vxThWS_jygc,2022-10-01,190.0,6.0,3732.0,0.9982388019561768,TV5,megastar chiranjeevi,0,0,0,0,0
KovlcihPvK4,2022-10-06,65.0,0.0,390.0,0.9967976212501526,TV5,megastar chiranjeevi,0,0,0,0,0
WCMCIwha6o4,2023-03-15,337.0,8.0,1482.0,-0.99686998128891,TV9,megastar chiranjeevi,1,0,0,0,0
w6NtAeG_1TI,2022-02-27,368.0,341.0,185419.0,0.9948561191558838,Sakshi,megastar chiranjeevi,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,megastar chiranjeevi,0,0,0,0,0
irA5zaHZ3xs,2023-01-13,22.0,0.0,1521.0,0.9928932785987854,TV9,megastar chiranjeevi,0,0,0,0,0
PHoyCYrDIco,2022-12-29,232.0,0.0,5470.0,0.998855471611023,TV9,megastar chiranjeevi,0,0,0,0,0
PG-27-AbMx0,2023-01-15,213.0,3.0,3825.0,0.9946305751800536,TV9,megastar chiranjeevi,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,megastar chiranjeevi,0,0,0,0,0
Al6yRuhl1_c,2023-01-08,120.0,1.0,1339.0,-0.9977834820747375,TV9,megastar chiranjeevi,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,megastar chiranjeevi,0,0,0,0,0
ba7aL208dzo,2023-03-18,179.0,1.0,1537.0,0.9904544949531556,TV9,megastar chiranjeevi,0,0,0,0,0
M0uOlUrn-Pk,2022-11-14,280.0,49.0,12455.0,-0.9918078780174256,Sakshi,megastar chiranjeevi,0,0,0,0,0
20JEqXcvAH0,2023-01-14,279.0,0.0,1130.0,-0.9883520007133484,TV9,megastar chiranjeevi,0,0,0,0,0
zMNusTPJ2tE,2022-12-12,60.0,4.0,3721.0,0.9980674386024476,TV5,megastar chiranjeevi,0,0,0,0,0
TVvpijvMdxI,2022-10-25,145.0,2.0,2286.0,-0.9986955523490906,ABN,megastar chiranjeevi,0,0,0,0,0
KpeSCVpLLBA,2023-01-12,262.0,12.0,9167.0,0.989244818687439,TV9,megastar chiranjeevi,0,0,0,0,0
5LCVG0wHtys,2023-01-16,272.0,72.0,49671.0,0.9528266787528992,TV9,megastar chiranjeevi,0,0,0,0,1
yyBCjCayoUM,2022-12-23,56.0,6.0,7679.0,0.9977188110351562,TV9,megastar chiranjeevi,0,0,0,0,0
K-7cASoN5Gw,2022-12-23,40.0,20.0,52232.0,0.9934225678443908,TV9,megastar chiranjeevi,0,0,0,0,0
go6T-wx7hGA,2023-01-13,53.0,2.0,18229.0,0.998710036277771,TV9,megastar chiranjeevi,0,0,0,0,0
7pOFwa-wN_I,2022-09-11,75.0,3.0,3566.0,0.9950101375579834,TV5,megastar chiranjeevi,0,0,0,0,0
yoBTi3b7DVs,2022-02-11,922.0,3.0,1728.0,0.9982567429542542,Sakshi,megastar chiranjeevi,0,0,0,0,0
nd0sm0oIGIs,2022-11-20,46.0,2.0,867.0,0.9983554482460022,TV9,megastar chiranjeevi,0,0,0,0,0
225tjjS13ag,2023-03-17,336.0,7.0,8813.0,0.9966325163841248,TV9,megastar chiranjeevi,0,0,0,0,0
vwQeRrEWf6Q,2023-01-11,172.0,19.0,17309.0,-0.998354434967041,TV9,megastar chiranjeevi,0,0,0,0,0
JI3aaaxUWHw,2023-01-07,160.0,1.0,3190.0,0.9971158504486084,TV5,megastar chiranjeevi,0,0,0,0,0
1fJodC0oTJI,2022-12-23,93.0,0.0,2617.0,0.9970232844352722,ABN,megastar chiranjeevi,0,0,0,0,0
B4J1l-IW8Uo,2022-11-20,390.0,0.0,2364.0,0.9983229041099548,TV5,megastar chiranjeevi,0,1,0,0,0
XGJchoFrPfM,2022-11-20,122.0,5.0,2065.0,0.989164412021637,TV5,megastar chiranjeevi,0,0,0,0,0
CLBzM46bljY,2023-03-18,290.0,7.0,11218.0,-0.997051239013672,ABN,megastar chiranjeevi,0,0,1,0,0
t4-hNTNaPOU,2022-12-11,386.0,20.0,27629.0,0.9942275285720824,Sakshi,megastar chiranjeevi,1,0,0,0,0
KwrIs_-rjLA,2022-11-15,411.0,6.0,12206.0,0.9982413053512572,TV5,megastar chiranjeevi,0,0,0,0,0
0Acrb9hf1xY,2022-02-27,330.0,238.0,52138.0,-0.9971017241477966,Sakshi,megastar chiranjeevi,0,0,0,0,0
1AWGFGcBs0Y,2023-03-08,307.0,0.0,467.0,0.9985859394073486,TV9,megastar chiranjeevi,0,0,0,0,0
K5oGHD7BqFY,2022-10-01,70.0,0.0,2649.0,0.9987026453018188,TV5,megastar chiranjeevi,0,0,0,0,0
kbnPErJbmTo,2023-03-12,237.0,2.0,6246.0,0.9945160746574402,TV9,megastar chiranjeevi,0,0,0,0,0
dZ-l-WZyEo0,2023-01-12,132.0,3.0,2980.0,-0.9982327222824096,TV9,megastar chiranjeevi,0,0,0,0,0
8em4OAYmPyw,2023-02-01,171.0,0.0,1757.0,0.9982966780662536,ABN,megastar chiranjeevi,0,0,0,0,0
aa3q5n6X-80,2022-10-01,320.0,2.0,1429.0,0.9981185793876648,TV5,megastar chiranjeevi,0,0,0,0,0
ZAjHiJjeLMQ,2023-03-18,175.0,0.0,5056.0,0.9982810020446776,TV5,megastar chiranjeevi,0,0,0,0,0
nt9tPxeNTX8,2022-09-04,230.0,1.0,956.0,0.998536229133606,TV5,megastar chiranjeevi,0,0,0,0,0
0ewqv3SXo6w,2023-03-05,190.0,3.0,826.0,0.9955148100852966,TV5,megastar chiranjeevi,0,0,0,0,0
GnFMv6IobtA,2023-01-11,335.0,2.0,2633.0,-0.9920578598976136,ABN,megastar chiranjeevi,0,0,0,1,0
hQRPZjm1CJg,2023-01-11,193.0,3.0,8064.0,-0.9908336997032166,ABN,megastar chiranjeevi,0,0,0,0,0
Ve_aJmGTJfs,2020-03-16,371.0,2.0,7801.0,-0.9785955548286438,Sakshi,megastar chiranjeevi,0,0,0,0,0
_fcHSnS26gg,2022-01-13,74.0,75.0,39256.0,0.9882667660713196,Sakshi,megastar chiranjeevi,0,0,0,1,0
BtujV2Ey-Bc,2022-12-23,69.0,10.0,22826.0,0.9858733415603638,TV9,megastar chiranjeevi,0,0,0,0,0
p1nTviFWzhE,2023-01-13,118.0,3.0,2691.0,0.9986128807067872,TV9,megastar chiranjeevi,0,0,0,0,0
q52X7z64zfc,2022-08-02,278.0,309.0,137323.0,-0.9949865341186525,Sakshi,megastar chiranjeevi,0,0,0,0,0
rpSx0FHjfuw,2023-01-08,81.0,7.0,3339.0,0.9978209733963012,TV9,megastar chiranjeevi,0,0,0,0,0
KTBp30-RrYM,2022-10-04,9410.0,0.0,2915.0,0.995210349559784,TV5,megastar chiranjeevi,0,0,0,0,0
bq8YuxFDFkg,2023-01-03,271.0,21.0,10829.0,-0.9990673661231996,TV9,megastar chiranjeevi,0,0,0,0,0
Zv03vNnUx6s,2022-12-12,137.0,7.0,2937.0,0.9951737523078918,TV5,megastar chiranjeevi,0,0,0,0,0
-L2BkFaKf6E,2022-10-05,174.0,5.0,2026.0,0.99257493019104,TV5,megastar chiranjeevi,0,0,0,0,0
rO4EtmsVucs,2022-10-04,35.0,2.0,2719.0,0.9980067610740662,TV5,megastar chiranjeevi,0,0,0,0,0
S2CMOF7jwNk,2023-01-09,225.0,13.0,51637.0,-0.9851601123809814,ABN,megastar chiranjeevi,0,0,0,0,0
0puMHRfgAE8,2022-12-29,102.0,1.0,1186.0,0.9677399396896362,TV9,megastar chiranjeevi,0,0,0,0,0
qbbRNgPf98Y,2022-11-15,34265.0,1.0,11790.0,0.9985608458518982,Sakshi,megastar chiranjeevi,0,0,0,0,0
HjkSk_dSZj8,2023-01-14,279.0,0.0,781.0,0.9960634112358092,TV9,megastar chiranjeevi,0,0,0,0,0
_0n5TkXI6Zg,2022-12-23,94.0,0.0,2408.0,0.9976754784584044,TV9,megastar chiranjeevi,0,0,0,0,0
9yGqazMTV9I,2022-10-24,42898.0,2.0,105596.0,0.9961275458335876,ABN,megastar chiranjeevi,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,megastar chiranjeevi,0,0,0,0,0
ZogdsW1od_U,2023-01-09,200.0,17.0,72110.0,0.993963897228241,TV9,megastar chiranjeevi,0,0,0,0,0
gKrmnPEb5Mc,2022-01-13,327.0,73.0,37277.0,0.9988937973976136,Sakshi,megastar chiranjeevi,0,0,0,0,0
Xc3S316vUV0,2022-12-19,162.0,1.0,3441.0,0.9975228905677797,TV9,megastar chiranjeevi,0,0,0,0,0
nulEyLzEND0,2023-01-08,451.0,1.0,3812.0,0.9970134496688844,TV9,megastar chiranjeevi,0,0,0,0,0
5nwjqaUWyME,2022-12-26,120.0,25.0,3448.0,0.9981831908226012,TV9,megastar chiranjeevi,0,0,0,0,0
PkYHhUVq3ts,2022-02-10,94.0,19.0,12086.0,0.9986384510993958,Sakshi,megastar chiranjeevi,1,0,0,0,0
r0sMAwy7uas,2022-11-21,130.0,0.0,2469.0,0.9982882142066956,TV9,megastar chiranjeevi,0,0,0,0,0
4vfJ4V1J1rw,2023-03-12,167.0,2.0,3082.0,0.9987959861755372,TV9,megastar chiranjeevi,0,0,0,0,0
yyaN_UsOx9I,2022-10-08,104.0,2.0,2747.0,0.998645007610321,TV5,megastar chiranjeevi,0,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,megastar chiranjeevi,0,0,0,0,0
5VPZK6T73SQ,2022-11-14,603.0,52.0,25978.0,0.99847811460495,Sakshi,megastar chiranjeevi,0,0,0,0,0
HOYcul7zWlI,2023-01-14,138.0,21.0,18188.0,0.989206075668335,ABN,megastar chiranjeevi,0,0,0,0,0
B3OtgQtIe48,2023-01-08,129.0,0.0,2066.0,0.9988835453987122,TV9,megastar chiranjeevi,0,0,0,0,0
qMw2KXKWwJM,2022-12-26,101.0,25.0,6708.0,-0.9754241704940796,TV9,megastar chiranjeevi,0,0,0,0,0
