ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,palakollu.png,gajapathinagram.png,pulivendula.png,kanigiri.png,kalayan_durg.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tadepalligudem.png,sambasivarao.png,tekkali.png,palakonda.png
FKG1L54V1pg,2022-06-01,316.0,17.0,3650.0,0.9984717965126038,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASywo7wm08,2022-12-03,132.0,3.0,3659.0,0.9987609386444092,TV9,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8A1pNZUcHQs,2022-12-01,273.0,14.0,4536.0,0.9988264441490172,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q1enQynoEzY,2022-11-01,95.0,5.0,3419.0,0.99853515625,ABN,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dB8eIvNdfSU,2021-11-20,42897.0,81.0,138620.0,0.9958618879318236,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HsM6ZQZu12E,2022-10-25,356.0,0.0,253.0,-0.9979571104049684,TV5,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMV9haVIe18,2022-10-13,240.0,1.0,1620.0,-0.950314998626709,ABN,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rep7abu6R-E,2021-11-21,57.0,559.0,725697.0,-0.9977251887321472,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iahHK6_4874,2021-08-21,293.0,7.0,12339.0,-0.9861266016960144,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hLN2osbW0U8,2023-02-19,118.0,243.0,20638.0,-0.9963957667350768,ABN,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reiJrn9dwis,2022-10-15,7765.0,3.0,13996.0,0.9983900785446168,TV5,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_kKpXrVW3kU,2021-02-21,202.0,0.0,3826.0,0.9969711303710938,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdlR_36azg8,2023-02-20,175.0,187.0,95730.0,-0.999496340751648,TV5,lakshmi parvathi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cHNI2vLrPnE,2021-10-16,15425.0,10.0,8430.0,-0.9979216456413268,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fw2w2oiWA8Y,2023-02-10,78.0,1.0,423.0,0.9518786072731018,ABN,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-dReNwkvyrM,2023-04-19,132.0,12.0,14093.0,0.996772825717926,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H5YshY_yz5c,2023-02-17,295.0,0.0,1740.0,-0.9983028173446656,ABN,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6v8gYdN3Drs,2021-02-15,151.0,6.0,6586.0,0.997244358062744,Sakshi,lakshmi parvathi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5gD53x_yji8,2022-09-10,98.0,18.0,6747.0,0.9867825508117676,TV5,lakshmi parvathi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7syUzfbQd9Q,2022-12-27,270.0,1.0,1559.0,0.9882410168647766,TV9,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,lakshmi parvathi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gEjrq99lGqA,2022-09-27,94.0,7.0,2611.0,-0.9907442927360536,TV5,lakshmi parvathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
