ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,eluru.png,kalayan_durg.png
N6K3_yFxjiA,2023-03-19,156.0,26.0,22311.0,-0.9951469302177428,TV5,anna canteen,0,0
qDTaGJ-2Y0U,2023-03-25,315.0,2.0,272.0,-0.9990654587745668,TV5,anna canteen,0,0
bgDlJ1-aEQg,2023-04-20,584.0,5.0,873.0,0.9973184466362,TV5,anna canteen,0,0
uPSZMAIgYzw,2022-12-28,250.0,0.0,1538.0,0.9935330152511596,Sakshi,anna canteen,0,0
spXUfPFRl0Y,2022-09-07,637.0,5.0,4278.0,-0.9880892634391784,TV5,anna canteen,0,0
vT6GOJj8F3Y,2023-03-09,340.0,0.0,436.0,-0.9874337315559388,ABN,anna canteen,0,0
2NiDqHOvHa0,2022-08-26,265.0,51.0,29473.0,-0.9897243976593018,TV5,anna canteen,1,0
OTrMWkdTLJ8,2023-03-27,271.0,476.0,163841.0,0.9953540563583374,Sakshi,anna canteen,0,0
qr_gLnpfO_E,2023-03-01,274.0,1.0,2301.0,-0.6861288547515869,TV9,anna canteen,0,0
2KfUVi9ZMKE,2023-01-30,253.0,1.0,3752.0,-0.9982224106788636,ABN,anna canteen,0,0
UNydspHd8p4,2022-12-18,289.0,7.0,5424.0,-0.9969335794448853,ABN,anna canteen,0,0
Vn_FrgPoAuI,2022-12-18,130.0,12.0,11212.0,-0.998159110546112,TV9,anna canteen,0,0
2kYAhssU1zs,2023-02-18,323.0,39.0,11850.0,-0.9977084398269652,Sakshi,anna canteen,0,0
AHL8uyFmwk8,2023-01-06,201.0,4.0,3250.0,-0.9986377358436584,ABN,anna canteen,0,0
a-HFprdHPI8,2022-10-02,227.0,3.0,857.0,0.9988080263137816,TV5,anna canteen,0,0
RRECZyVkPng,2023-02-07,42.0,2.0,2533.0,-0.9989803433418274,ABN,anna canteen,0,0
ePMKkn85OMA,2023-03-03,145.0,1.0,519.0,-0.9937352538108826,ABN,anna canteen,0,0
Ezq3Wh_Erpc,2023-01-10,187.0,1.0,1666.0,-0.9779850244522096,ABN,anna canteen,0,0
zXLmxU93NRg,2023-03-21,310.0,14.0,11757.0,0.9935221076011658,ABN,anna canteen,0,0
H5gVUK0GCjg,2022-08-26,195.0,181.0,114627.0,-0.9969294667243958,TV5,anna canteen,0,0
P9h9-KNKyjo,2023-03-23,330.0,129.0,73769.0,0.9902026653289796,TV5,anna canteen,0,0
8sRs0bHnaEA,2022-10-18,291.0,4.0,4685.0,0.9983772039413452,TV5,anna canteen,0,0
kQqjTGiyc8w,2022-09-21,260.0,1.0,695.0,-0.9948868155479432,Sakshi,anna canteen,0,0
_vtXwYggzf4,2022-12-29,311.0,0.0,1546.0,-0.9968630075454712,ABN,anna canteen,0,1
csdYysoHPqU,2022-08-26,439.0,6.0,13109.0,-0.9959535598754884,TV5,anna canteen,0,0
RK5JxCFpmgo,2022-12-24,199.0,2.0,38466.0,0.9983845949172974,TV9,anna canteen,0,0
jFjnbWfpUkY,2022-09-03,42900.0,0.0,141273.0,-0.9907265901565552,TV5,anna canteen,0,0
kyimEZY1UME,2023-04-19,220.0,9.0,5654.0,-0.9928852915763856,TV5,anna canteen,1,0
7cZ3fZYaOkQ,2022-09-16,141.0,9.0,8198.0,-0.9984563589096068,TV5,anna canteen,0,0
6Edo27A-jCI,2023-01-24,307.0,20.0,7591.0,-0.9931527376174928,Sakshi,anna canteen,0,1
JhZxrYfm63Y,2023-04-02,207.0,1.0,2995.0,0.981562316417694,TV5,anna canteen,0,0
KOudJwPYTag,2022-08-30,100.0,72.0,52123.0,-0.998591959476471,TV5,anna canteen,0,0
bK_iDnCi7UY,2022-08-25,110.0,20.0,6849.0,-0.9992710947990416,TV5,anna canteen,0,0
cNPIvBwFu6s,2022-09-08,77.0,14.0,3225.0,0.994602382183075,TV5,anna canteen,0,0
-hAiPQOsByY,2023-04-22,101.0,3.0,1271.0,0.9969347715377808,TV5,anna canteen,0,0
oDEVJzAPdRQ,2022-10-15,200.0,2.0,2115.0,-0.996160626411438,TV5,anna canteen,0,0
toYGks0-xDM,2022-08-25,57.0,40.0,34316.0,-0.999187171459198,TV5,anna canteen,0,0
-gLs0d3hydQ,2022-09-04,67.0,4.0,2359.0,0.9971935153007508,TV5,anna canteen,0,0
jIqMGSjXMhk,2022-08-26,555.0,42.0,51466.0,-0.996815860271454,TV5,anna canteen,0,0
zasvLgTprZQ,2022-10-23,314.0,1.0,1183.0,0.9982607960700988,TV5,anna canteen,0,0
YpXsMYRBqi0,2022-11-18,228.0,3.0,33617.0,-0.9658622145652772,TV9,anna canteen,0,0
5Gl7rekO9vk,2022-09-05,254.0,2.0,2388.0,-0.9993008375167848,TV5,anna canteen,0,0
625xyoDLQ8k,2022-10-20,357.0,5.0,5691.0,0.9979556798934937,TV5,anna canteen,0,0
S5O_n-mumvo,2022-08-30,490.0,9.0,3876.0,-0.9970898032188416,TV5,anna canteen,0,0
qk9mVG3d-rU,2022-08-25,344.0,95.0,47006.0,-0.99846351146698,TV5,anna canteen,0,0
E9qoPm32sJc,2023-04-04,302.0,17.0,20254.0,0.9979079961776732,TV5,anna canteen,0,0
kW60ea1GePA,2023-01-05,316.0,19.0,4831.0,0.9801733493804932,ABN,anna canteen,0,0
wJyEvwiNXLE,2023-02-13,329.0,3.0,3052.0,-0.9910474419593812,Sakshi,anna canteen,0,0
JAaA9Xqn29c,2022-11-18,218.0,9.0,1505.0,-0.998283624649048,ABN,anna canteen,0,0
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,anna canteen,0,0
AswcjfI4BQQ,2023-01-28,275.0,3.0,6139.0,0.9961950778961182,TV5,anna canteen,0,0
T1lnDk48lU8,2023-01-10,218.0,129.0,57058.0,0.9940453767776488,TV9,anna canteen,0,0
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,anna canteen,0,0
SNz3xXSLczg,2023-04-01,312.0,2.0,6207.0,-0.9926207065582277,TV9,anna canteen,0,0
ojj-7OEp3jw,2022-09-16,180.0,5.0,3138.0,0.9492734670639038,Sakshi,anna canteen,0,0
dHGj2MavTsw,2023-03-02,175.0,3.0,567.0,0.99305659532547,TV5,anna canteen,0,0
Dh4DLjVgrvk,2022-11-05,303.0,0.0,1215.0,0.9975011944770812,TV5,anna canteen,0,0
sDd4hWd0UGc,2022-09-03,15185.0,17.0,95655.0,-0.9950271248817444,TV5,anna canteen,0,0
HyQ0ouSJrmw,2021-07-01,294.0,8.0,2362.0,0.9982208609580994,Sakshi,anna canteen,0,0
mXCsTjblKYQ,2022-09-23,395.0,34.0,28592.0,-0.997471570968628,TV5,anna canteen,0,0
p1Y_-6GcOfs,2022-11-27,212.0,4.0,1762.0,-0.9862337112426758,TV9,anna canteen,0,0
mep9Qw_Yqdg,2022-09-07,280.0,15.0,5490.0,-0.9990122318267822,TV5,anna canteen,0,0
X1OSKoUGyUU,2022-09-07,137.0,2.0,542.0,-0.9990403056144714,TV5,anna canteen,0,0
9BH-vpte5nE,2022-11-02,280.0,0.0,905.0,-0.9955745935440063,ABN,anna canteen,0,0
HM85XkwTt1w,2022-12-02,398.0,2.0,2505.0,-0.9984951019287108,TV5,anna canteen,0,0
OHCjwcoZ-Yc,2022-08-25,255.0,26.0,8532.0,-0.9969143867492676,TV5,anna canteen,0,0
1Ykhy17QfDo,2021-02-15,267.0,2.0,2518.0,0.9796199202537536,Sakshi,anna canteen,0,0
