ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,tekkali.png,denduluru.png,tirupati_l2.png
2HNTuTAws4E,2023-03-04,315.0,10.0,2980.0,0.9911950826644896,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,1,0,0,0,0
1lgcgpoQCF8,2022-06-08,155.0,90.0,41877.0,-0.9992039799690248,Sakshi,chintamaneni prabhakar,1,0,0,0,0,0,0,0,1,0,1,0
y04UxuDZEJk,2023-01-02,169.0,3.0,3209.0,-0.9972869157791138,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Cjgg7cdTXd8,2023-03-18,165.0,0.0,1147.0,-0.998498797416687,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
7JrBq2n0ovY,2022-12-15,167.0,6.0,5095.0,-0.5982839465141296,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
bmdK05NdHUU,2021-02-15,139.0,29.0,36943.0,0.9878947138786316,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Nwd787queb0,2023-01-16,180.0,3.0,39421.0,0.99775367975235,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
xFLJJalYyTA,2021-02-17,180.0,0.0,2723.0,0.9986616373062134,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
hrysBbIKOgA,2022-11-18,138.0,0.0,492.0,-0.9977072477340698,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
lgIUxhK8NYM,2023-03-18,318.0,0.0,329.0,-0.9959222078323364,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
k887VSgJWBQ,2022-12-11,219.0,5.0,92116.0,-0.9959192872047424,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
w7b5cg0ravU,2023-02-28,86.0,0.0,1873.0,-0.992892861366272,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
ATaerN1DXqQ,2023-01-03,85.0,0.0,1134.0,-0.9988605976104736,TV9,chintamaneni prabhakar,0,0,0,0,1,0,0,0,0,0,0,0
8NNKrS8Jq6g,2023-03-19,86.0,0.0,909.0,-0.9944830536842346,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,1,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
