ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,tenali.png,venkatagiri.png,eluru.png,venkat_krishna.png,palakollu.png,vinukonda.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
4KTBeFg5J0g,2023-04-18,296.0,1.0,3231.0,-0.9974325299263,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
n0qaZcNIlJg,2022-12-20,195.0,2.0,1306.0,-0.9956003427505492,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
dw4fQIEA8-w,2023-01-07,55.0,0.0,523.0,0.9987119436264038,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
-XHXC48HTJ0,2023-01-27,180.0,3.0,737.0,-0.9994431138038636,ABN,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
5Vd7p-YK_Cg,2022-12-22,282.0,1.0,858.0,0.9980851411819458,TV9,undavalli arun kumar,0,0,1,0,0,0,0,0,0,0,0,0
vnNRfsQb-vA,2023-04-04,414.0,35.0,20093.0,0.9959986209869384,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
WVIdG5XG6QA,2022-12-11,1297.0,197.0,154246.0,0.9969148635864258,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
x2BnfyI9Ya0,2023-01-29,151.0,0.0,1256.0,-0.997351050376892,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
