ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,tadikonda.png,eluru.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,tekkali.png
KNtwux2yPxU,2023-02-14,88.0,2.0,212.0,-0.982344925403595,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1EJoMAfFJAw,2022-11-01,12825.0,6.0,13621.0,0.9923458099365234,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tfmpp-mrvTA,2022-12-27,195.0,76.0,85128.0,0.9943056702613832,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xdH2n_qP6XM,2021-02-18,172.0,0.0,1998.0,0.9985812902450562,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5h8gCG_VHxY,2022-12-09,288.0,0.0,954.0,0.985765814781189,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
