ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,mummidivaram.png,kondapi.png,pulivendula.png,tuni.png
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,Dadisetti Raja,0,0,0,0,0
flORGEMg5Hw,2022-06-04,9451.0,11.0,10529.0,0.9919773936271667,Sakshi,Dadisetti Raja,0,0,0,0,0
O-QX4Q3pML4,2023-03-19,64.0,8.0,3972.0,-0.9982677698135376,TV9,Dadisetti Raja,0,0,1,1,1
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,Dadisetti Raja,0,0,0,0,0
4pvJEmUaHr4,2022-10-23,245.0,0.0,734.0,0.9988057613372804,ABN,Dadisetti Raja,0,0,0,0,0
Fy1oLlfPbQU,2022-08-16,445.0,40.0,6329.0,0.9925947785377502,Sakshi,Dadisetti Raja,0,0,1,0,1
2Z7T9Xq-Bks,2023-03-13,40.0,253.0,283425.0,0.9988480806350708,TV9,Dadisetti Raja,0,0,0,0,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,Dadisetti Raja,0,0,0,0,0
rhS81xN5aBU,2023-02-10,32.0,1.0,6448.0,0.9960837364196776,TV9,Dadisetti Raja,0,0,0,0,0
ucKfhwvZUOw,2022-06-04,662.0,112.0,19839.0,-0.9986775517463684,Sakshi,Dadisetti Raja,0,0,0,0,0
hbFOREkr7JU,2023-02-28,77.0,1.0,5934.0,0.9976661205291748,TV5,Dadisetti Raja,0,0,0,0,0
EDG69ryHsWQ,2022-06-11,243.0,6.0,1426.0,-0.9984424710273744,Sakshi,Dadisetti Raja,0,0,1,0,1
e5l61zG0e5M,2023-03-10,244.0,1.0,1326.0,0.9804739952087402,TV5,Dadisetti Raja,0,0,0,0,0
VKCoJvkwzvA,2023-03-19,128.0,3.0,2842.0,-0.98845636844635,TV9,Dadisetti Raja,0,0,0,1,1
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,Dadisetti Raja,0,0,0,0,0
w3JiAZgqKU4,2023-03-13,131.0,0.0,3115.0,0.9983201622962952,TV5,Dadisetti Raja,0,0,0,0,0
vAYBTB5NBb0,2023-01-26,169.0,0.0,1396.0,0.9969807267189026,TV9,Dadisetti Raja,0,0,0,0,0
3CCO9I41cFQ,2022-09-13,237.0,2.0,1660.0,-0.9986322522163392,TV5,Dadisetti Raja,0,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,Dadisetti Raja,0,0,0,0,0
CJ77aU3a-Qw,2023-01-01,234.0,0.0,778.0,0.9980886578559875,TV5,Dadisetti Raja,0,0,0,0,0
HRNbSXRFCik,2023-03-12,328.0,7.0,2941.0,0.9692771434783936,Sakshi,Dadisetti Raja,0,0,0,0,0
f6u3vxNY9gs,2023-03-13,332.0,12.0,4451.0,-0.9931787252426147,Sakshi,Dadisetti Raja,0,0,0,0,1
11VaW0U4PqI,2022-12-20,283.0,1.0,1925.0,-0.9672042727470398,TV9,Dadisetti Raja,0,0,0,0,0
PbaMJPq7GE8,2023-03-19,153.0,4.0,1562.0,0.9949263334274292,TV9,Dadisetti Raja,0,0,1,1,1
VAPy-euSnvA,2022-11-25,236.0,1.0,1093.0,0.9984266757965088,Sakshi,Dadisetti Raja,0,0,1,0,1
hD5aEhXwFk8,2023-03-18,31.0,6.0,2155.0,-0.9974822402000428,TV9,Dadisetti Raja,0,0,0,0,1
deUaKSqKx34,2023-01-18,296.0,1.0,1028.0,-0.997672975063324,TV9,Dadisetti Raja,0,0,0,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,Dadisetti Raja,0,0,0,0,0
2B9iOT1Hefc,2023-03-13,40.0,0.0,3236.0,0.9988161325454712,TV9,Dadisetti Raja,0,0,0,0,0
dDCMqNMZ_xg,2023-04-05,174.0,8.0,3771.0,0.9976874589920044,TV5,Dadisetti Raja,0,0,0,0,0
d8hTSkpPG68,2022-11-01,154.0,6.0,1668.0,-0.9976859092712402,Sakshi,Dadisetti Raja,0,0,0,0,1
SE5TIM50GV0,2022-10-01,242.0,13.0,6974.0,0.9984402060508728,Sakshi,Dadisetti Raja,0,0,1,0,1
98RjjItUmw8,2023-02-04,275.0,11.0,11841.0,-0.9991971850395204,Sakshi,Dadisetti Raja,0,0,0,1,1
e36e7igrSDE,2022-11-01,188.0,0.0,2227.0,-0.9867141842842102,ABN,Dadisetti Raja,0,0,0,0,0
z2WI8fP0Pco,2022-11-12,70.0,1.0,2243.0,0.9984435439109802,TV5,Dadisetti Raja,0,0,0,0,0
lg-8TIPjtJ4,2022-09-10,485.0,10.0,4470.0,0.9898170232772828,Sakshi,Dadisetti Raja,0,0,1,0,1
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,Dadisetti Raja,0,0,0,0,0
pjd7ZGve0ro,2022-07-29,180.0,63.0,50192.0,-0.9984311461448668,Sakshi,Dadisetti Raja,1,0,0,0,1
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,Dadisetti Raja,0,0,0,0,0
HDH5lJiJYeU,2022-09-29,120.0,0.0,1360.0,-0.9954662322998048,TV5,Dadisetti Raja,0,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,Dadisetti Raja,0,0,0,0,0
