ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,rayachoti.png,paderu.png,nandikotkur.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,pawan.png
d-dTUUiCoeg,2022-06-09,333.0,3.0,4033.0,0.9949219822883606,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WzGvCHCBXg4,2022-12-29,302.0,2.0,2148.0,-0.9821646213531494,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWIuSjF5AR8,2022-10-22,216.0,0.0,1116.0,0.99851793050766,ABN,Corona,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bSFCapsYUR0,2022-11-30,301.0,34.0,26617.0,0.9865793585777284,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZItI4QUtu54,2022-10-21,116.0,6.0,8014.0,-0.9956522583961488,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ufnfpv5ife4,2022-12-22,245.0,0.0,2787.0,-0.9963024854660034,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zdQO5E5Elmo,2023-01-03,125.0,17.0,3277.0,-0.9957980513572692,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rdg9OrPu_V4,2022-12-25,42897.0,0.0,85228.0,0.994160294532776,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-i1PqcPY5N4,2021-08-02,134.0,6.0,3694.0,0.8003214001655579,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nL3MdQbTxvU,2022-12-21,139.0,3.0,2587.0,-0.99816232919693,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eczGHCB0l7o,2021-02-13,289.0,98.0,80629.0,0.9840806126594543,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hTlOc5dsxYk,2021-07-13,331.0,4.0,4386.0,-0.9991554021835328,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73EHuDAesbo,2022-12-07,121.0,4.0,1053.0,0.9844914078712464,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahhImcM1D0k,2023-01-26,270.0,2.0,1107.0,-0.9905195236206056,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZVMwO66hbpc,2020-03-04,309.0,3.0,86821.0,0.993248701095581,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dq2mErZlnJM,2022-12-30,248.0,0.0,534.0,0.9958820343017578,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUdKyLGQIWY,2022-12-30,32.0,0.0,1298.0,-0.9954791069030762,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7oBCGC9b01c,2022-09-02,295.0,4.0,1019.0,-0.9989190101623536,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fehUnNm25o,2023-01-12,141.0,0.0,661.0,0.9945375323295592,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ntni26Yl8uM,2022-04-30,201.0,57.0,12152.0,0.9956462979316713,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EtuUqOCp77Y,2020-03-05,184.0,0.0,651.0,-0.9579288959503174,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8yx7GHl5cBs,2020-03-17,102.0,0.0,1474.0,-0.9925387501716614,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607wlFXk2dQ,2022-05-21,302.0,6.0,3594.0,0.9965057373046876,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tUIVYT50PT4,2022-10-27,344.0,0.0,1053.0,0.9938786625862122,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eLhWMvyOyC0,2022-12-22,127.0,4.0,3806.0,-0.9991288781166076,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFE4SVBCaRs,2021-07-17,305.0,5.0,2981.0,0.9849222302436828,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UM4SF9v6F7Y,2022-11-12,320.0,1.0,1602.0,-0.998400628566742,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iy85Uycvcek,2022-12-24,175.0,0.0,2614.0,0.9760732650756836,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGt1cw5poNM,2023-01-22,340.0,0.0,613.0,-0.9904286861419678,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vf4QC5Gw7SE,2022-10-05,170.0,6.0,6592.0,-0.9982006549835204,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lTc-grwier0,2022-01-23,325.0,5.0,2493.0,0.997617781162262,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38odpnOwevY,2023-03-12,345.0,131.0,49673.0,-0.9983068704605104,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nVj7FCbwATw,2022-09-25,143.0,124.0,46185.0,-0.9983423948287964,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H8SOO2p0Y7A,2021-05-01,110.0,23.0,12606.0,0.9359350204467772,Sakshi,Corona,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VV8AxE5URvA,2022-02-04,282.0,116.0,5540.0,-0.9984949827194214,Sakshi,Corona,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fs2DGnbTsU0,2022-12-22,42896.0,21.0,200751.0,0.9979053735733032,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h9u2MyLWyqw,2022-12-23,125.0,46.0,34807.0,-0.9960743188858032,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXOncopIZXM,2022-12-24,130.0,18.0,52474.0,0.9932764768600464,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lRZmGc7hw7M,2022-12-22,26892.0,7.0,86516.0,-0.9930933713912964,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h-ojaoCwHpc,2022-10-05,538.0,0.0,2971.0,0.9971184730529784,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGtcZa4k1CI,2020-03-12,144.0,7.0,1586.0,-0.9943618774414062,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-RQtMlmsXw,2022-02-25,188.0,289.0,88175.0,0.997975766658783,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
