ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vishakapatnam_west.png,kakinada.png,pulivendula.png,tekkali.png
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Kadapa Steel Plant,0,0,0,0
7ApXfZEdbbc,2023-01-11,351.0,34.0,20722.0,-0.9941022992134094,TV9,Kadapa Steel Plant,0,0,0,0
4skzY2xtI20,2023-02-15,325.0,10.0,2936.0,-0.9965584874153136,ABN,Kadapa Steel Plant,0,0,1,0
ZsCh9MHz1m0,2022-09-16,220.0,290.0,371854.0,0.9921836256980896,TV5,Kadapa Steel Plant,0,0,0,1
Y789V9kYkFY,2022-04-20,363.0,29.0,37666.0,0.9968039989471436,Sakshi,Kadapa Steel Plant,1,1,0,0
mcCe_ALtfGY,2019-12-23,321.0,12.0,11418.0,0.998653769493103,Sakshi,Kadapa Steel Plant,0,0,0,0
BmuJIxgW82w,2022-09-16,234.0,6.0,5442.0,0.9935309290885924,TV5,Kadapa Steel Plant,0,0,0,1
nfCkEXDpLBM,2019-12-23,261.0,0.0,3809.0,0.9977679252624512,Sakshi,Kadapa Steel Plant,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Kadapa Steel Plant,0,0,0,0
L5B1_Z_TcHc,2022-11-11,290.0,0.0,1945.0,0.9933395981788636,TV5,Kadapa Steel Plant,0,0,0,0
TpKN7vClU-w,2022-10-16,169.0,29.0,214424.0,-0.9966185092926024,TV5,Kadapa Steel Plant,0,0,0,0
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,Kadapa Steel Plant,1,0,0,1
wnP84WRPqVs,2022-11-12,433.0,14.0,2739.0,-0.9775506854057312,ABN,Kadapa Steel Plant,0,0,0,0
jkpWtAI01ns,2019-12-23,132.0,9.0,12585.0,0.9981725215911864,Sakshi,Kadapa Steel Plant,0,0,0,0
-F5VSXoMacI,2023-03-06,260.0,3.0,2257.0,-0.9901210069656372,TV5,Kadapa Steel Plant,0,0,0,0
rvC2HAm-lBQ,2020-03-10,253.0,16.0,17279.0,0.9947039484977722,Sakshi,Kadapa Steel Plant,0,0,1,0
8rCvSOEMYNI,2019-12-23,169.0,30.0,3957.0,0.9956607222557068,Sakshi,Kadapa Steel Plant,0,0,1,0
Qx0yhF8vO5o,2021-02-16,320.0,0.0,5036.0,0.9910224676132202,Sakshi,Kadapa Steel Plant,0,0,0,0
lXw44H_uR4M,2023-03-16,260.0,5.0,3076.0,-0.9984886646270752,TV9,Kadapa Steel Plant,0,0,0,0
h16C8gqw-W8,2023-03-09,215.0,4.0,718.0,-0.998111128807068,TV5,Kadapa Steel Plant,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,Kadapa Steel Plant,0,0,0,0
-mjcTzdQrw8,2022-10-16,212.0,26.0,16284.0,0.9982422590255736,TV5,Kadapa Steel Plant,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,Kadapa Steel Plant,0,0,0,0
DWzT3ib-GD8,2022-12-14,157.0,74.0,101581.0,-0.9987542629241944,ABN,Kadapa Steel Plant,0,0,0,0
-FH-hsErDHk,2023-04-11,345.0,9.0,7201.0,-0.9938761591911316,ABN,Kadapa Steel Plant,0,0,0,0
NhecyJzzlYQ,2023-04-17,220.0,7.0,33402.0,-0.9979484677314758,TV9,Kadapa Steel Plant,0,0,0,0
2_5F9ODjtkA,2023-02-15,125.0,14.0,5093.0,0.9986454844474792,Sakshi,Kadapa Steel Plant,0,0,0,0
0sOQA9-6n18,2022-08-30,295.0,219.0,231880.0,0.9859628081321716,TV5,Kadapa Steel Plant,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Kadapa Steel Plant,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Kadapa Steel Plant,0,0,0,0
C9LSW1phglg,2023-02-15,734.0,110.0,59855.0,-0.9661948680877686,TV5,Kadapa Steel Plant,0,0,0,0
ms2QYJucdOk,2021-02-20,129.0,2.0,426.0,0.995482325553894,Sakshi,Kadapa Steel Plant,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Kadapa Steel Plant,0,0,0,0
334loCbvZNk,2023-02-15,13.0,35.0,15899.0,0.9986452460289,ABN,Kadapa Steel Plant,0,0,0,0
KlX-_yK51IE,2022-10-11,315.0,3.0,1967.0,-0.9980151653289796,TV5,Kadapa Steel Plant,0,0,0,0
HmqKqzqsTS4,2023-02-14,259.0,7.0,2212.0,-0.9959591031074524,ABN,Kadapa Steel Plant,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,Kadapa Steel Plant,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Kadapa Steel Plant,0,0,0,0
rM7iQdDhr9M,2023-04-17,267.0,1.0,5264.0,0.9866213798522948,TV9,Kadapa Steel Plant,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,Kadapa Steel Plant,0,0,0,0
6eefUKPGh_0,2023-04-11,53.0,5.0,6254.0,-0.9895477294921876,ABN,Kadapa Steel Plant,0,0,0,0
IxKe9la-87U,2023-03-17,299.0,2.0,1223.0,0.998814582824707,Sakshi,Kadapa Steel Plant,0,0,0,0
PEJU32CPJBI,2023-02-07,193.0,0.0,848.0,0.9930522441864014,ABN,Kadapa Steel Plant,0,1,0,0
LGG28mOuI6w,2023-04-04,220.0,38.0,35403.0,0.9959285855293274,TV5,Kadapa Steel Plant,0,0,0,0
LYIr6A3muY0,2023-01-27,298.0,404.0,102123.0,-0.997269570827484,Sakshi,Kadapa Steel Plant,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Kadapa Steel Plant,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Kadapa Steel Plant,0,0,0,0
RerIY7zocw8,2022-01-03,152.0,15.0,14715.0,0.9978553652763368,Sakshi,Kadapa Steel Plant,0,0,0,0
EHu6II9qfgQ,2021-02-18,259.0,9.0,4534.0,-0.9990240335464478,Sakshi,Kadapa Steel Plant,0,1,1,1
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,Kadapa Steel Plant,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,Kadapa Steel Plant,0,0,0,0
VC2V-wcna7Y,2023-02-15,138.0,9.0,2819.0,0.9980023503303528,TV9,Kadapa Steel Plant,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,Kadapa Steel Plant,0,0,0,0
fDGKl_rZauA,2023-03-29,145.0,27.0,14076.0,-0.9948490262031556,TV5,Kadapa Steel Plant,0,0,0,0
IqczDsK2BEg,2023-04-20,158.0,1.0,1600.0,-0.998011827468872,TV5,Kadapa Steel Plant,0,0,0,0
qK-0ENY1bf0,2023-02-15,242.0,13.0,3860.0,0.9950957894325256,ABN,Kadapa Steel Plant,0,0,0,0
_sILejKnMMc,2022-11-11,327.0,1.0,2522.0,-0.9908081889152528,TV5,Kadapa Steel Plant,0,0,0,0
QXT03aDKWa4,2022-12-01,70.0,0.0,716.0,-0.9991350769996644,ABN,Kadapa Steel Plant,0,0,0,0
9m6-l3KHTOs,2023-04-12,308.0,9.0,3409.0,0.9900924563407898,TV9,Kadapa Steel Plant,0,0,0,0
CLBzM46bljY,2023-03-18,290.0,7.0,11218.0,-0.997051239013672,ABN,Kadapa Steel Plant,0,1,0,1
I0__BQHfOvI,2023-04-11,255.0,24.0,49034.0,-0.9954453706741332,ABN,Kadapa Steel Plant,0,0,0,0
eHXaVzca7e8,2023-03-07,295.0,4.0,1335.0,0.9918689727783204,TV9,Kadapa Steel Plant,0,0,0,0
uElJh9ssmG0,2023-02-10,230.0,5.0,3875.0,-0.9991268515586852,ABN,Kadapa Steel Plant,0,0,0,0
rUIY4whko0I,2023-04-21,235.0,6.0,4326.0,0.9884922504425048,TV9,Kadapa Steel Plant,0,0,0,0
Wbwf5XVgCeo,2021-12-13,253.0,124.0,15357.0,-0.9958141446113586,Sakshi,Kadapa Steel Plant,0,1,0,1
yrm716HC9Jo,2023-04-14,275.0,1.0,579.0,-0.9980857372283936,ABN,Kadapa Steel Plant,0,0,0,0
c6f9MDXJb7k,2021-12-13,233.0,57.0,12907.0,-0.9990498423576356,Sakshi,Kadapa Steel Plant,0,1,0,1
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,Kadapa Steel Plant,0,0,0,0
MjUKznUB7Uw,2023-01-10,270.0,8.0,3036.0,-0.998596727848053,TV9,Kadapa Steel Plant,0,0,0,0
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,Kadapa Steel Plant,0,0,0,0
3aRtWkqg45k,2023-04-17,182.0,87.0,172614.0,-0.997553527355194,ABN,Kadapa Steel Plant,0,0,0,0
_TH6MSLo5bY,2023-02-15,120.0,63.0,25489.0,-0.9992032647132874,TV5,Kadapa Steel Plant,0,0,0,0
I5__sFcrmLU,2023-03-28,199.0,0.0,314.0,-0.9957857728004456,ABN,Kadapa Steel Plant,0,0,0,0
6xRRI-jlbUM,2023-02-15,65.0,13.0,17537.0,0.9942856431007384,Sakshi,Kadapa Steel Plant,0,0,0,0
GpLqCOhmD5Q,2023-02-15,210.0,2.0,2462.0,-0.9863541722297668,ABN,Kadapa Steel Plant,0,0,0,0
kEMshpYBzv4,2019-12-23,233.0,10.0,14362.0,0.9977805018424988,Sakshi,Kadapa Steel Plant,0,0,0,0
t815PRqs-vA,2022-07-11,285.0,296.0,238332.0,0.9986513257026672,Sakshi,Kadapa Steel Plant,1,1,0,1
EbDBbxtxVkQ,2023-02-15,883.0,106.0,40525.0,0.9950459003448486,Sakshi,Kadapa Steel Plant,0,0,0,0
YlIDMtZnYZ0,2019-12-23,319.0,21.0,39784.0,-0.9925187826156616,Sakshi,Kadapa Steel Plant,0,0,1,0
ly-CnDcNqj8,2023-01-11,232.0,1.0,1737.0,-0.9896592497825624,TV9,Kadapa Steel Plant,0,0,0,0
VHzx0OYJ1Eo,2021-02-16,274.0,2.0,3615.0,0.9959558248519896,Sakshi,Kadapa Steel Plant,0,0,0,1
OhwVV-o1a94,2022-09-26,115.0,15.0,4852.0,0.9930568933486938,TV5,Kadapa Steel Plant,0,0,0,0
kbTWbtGK81s,2023-04-19,160.0,70.0,53818.0,-0.9991143345832824,TV5,Kadapa Steel Plant,1,0,0,0
EFPjK8Dn3b4,2023-04-18,321.0,24.0,45912.0,0.9623546600341796,TV9,Kadapa Steel Plant,0,0,0,0
Xl91e0bfcRc,2023-03-05,267.0,181.0,89072.0,-0.9987579584121704,ABN,Kadapa Steel Plant,0,0,0,0
yOWid3Lmutk,2019-12-20,283.0,13.0,19231.0,0.9984158277511596,Sakshi,Kadapa Steel Plant,0,0,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,Kadapa Steel Plant,0,0,0,0
_rqTe9Xme38,2023-02-21,145.0,77.0,49883.0,-0.9926503300666808,ABN,Kadapa Steel Plant,0,0,0,0
XPoJJy6Jolg,2022-09-15,300.0,18.0,5960.0,0.9946139454841614,TV5,Kadapa Steel Plant,0,0,0,0
pCisqwf9n6M,2022-07-10,342.0,115.0,113276.0,0.9983918070793152,Sakshi,Kadapa Steel Plant,0,0,0,0
cE8SrF-krWc,2022-12-13,75.0,1.0,1230.0,0.9984283447265624,TV9,Kadapa Steel Plant,0,0,1,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,Kadapa Steel Plant,0,0,0,0
u9XN6Mntqfk,2023-02-15,219.0,21.0,4628.0,0.9981348514556884,Sakshi,Kadapa Steel Plant,0,0,0,0
kmbdNug4hY0,2023-03-28,108.0,6.0,4178.0,-0.9987503290176392,TV5,Kadapa Steel Plant,0,0,0,0
wkpA8jFP4oc,2023-02-15,583.0,37.0,12143.0,0.998348355293274,Sakshi,Kadapa Steel Plant,0,0,1,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,Kadapa Steel Plant,0,0,0,0
2uQUW3ERTtA,2023-02-15,72.0,1.0,1645.0,-0.9980373978614808,ABN,Kadapa Steel Plant,0,0,0,0
MhVWvpRWQlc,2023-02-15,250.0,14.0,11936.0,-0.9942418336868286,ABN,Kadapa Steel Plant,0,0,0,0
U8Vr1h92Pu4,2022-11-08,245.0,1.0,1427.0,-0.9908499717712402,TV5,Kadapa Steel Plant,0,0,0,0
wtfz2eNuhR0,2023-02-07,258.0,2.0,2372.0,-0.9987186193466188,ABN,Kadapa Steel Plant,1,1,0,1
SFO4JUb7X6E,2023-02-15,286.0,1.0,1472.0,0.9987127780914308,Sakshi,Kadapa Steel Plant,0,0,0,0
tFLqHfyX78s,2023-03-30,354.0,3.0,3864.0,0.9986358284950256,TV5,Kadapa Steel Plant,0,0,0,0
7zaz6K2Yjy8,2023-02-15,301.0,8.0,3956.0,0.998467743396759,Sakshi,Kadapa Steel Plant,0,0,0,0
qhOTcUej0K8,2023-04-20,245.0,6.0,485.0,-0.999431312084198,TV9,Kadapa Steel Plant,0,1,0,0
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,Kadapa Steel Plant,0,0,0,0
Zjul3pv7bOk,2023-03-25,205.0,4.0,3328.0,-0.9954311847686768,TV5,Kadapa Steel Plant,0,0,0,0
Smqz6PMCC9w,2023-01-24,45.0,325.0,133475.0,0.9817412495613098,ABN,Kadapa Steel Plant,0,0,0,0
lwFMEJqsDLI,2022-10-19,336.0,19.0,3425.0,-0.9970136880874634,Sakshi,Kadapa Steel Plant,0,0,0,0
c_OgIP4QByM,2023-02-15,289.0,21.0,4327.0,0.997533679008484,Sakshi,Kadapa Steel Plant,0,0,0,0
nwxvo-3Rn0Q,2023-01-29,230.0,20.0,20349.0,0.991230010986328,ABN,Kadapa Steel Plant,0,0,0,0
JJw53g-4T_Q,2023-03-03,51.0,2.0,2382.0,0.9986151456832886,TV9,Kadapa Steel Plant,0,0,0,0
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,Kadapa Steel Plant,0,0,0,0
dTSvDFw6-oY,2019-12-24,87.0,2.0,616.0,-0.9973604083061218,Sakshi,Kadapa Steel Plant,0,0,0,0
cScIxnfOfTI,2023-04-17,336.0,3.0,3781.0,-0.998027503490448,ABN,Kadapa Steel Plant,0,0,0,0
12QBGDp751U,2021-08-30,309.0,2.0,2650.0,0.9953230023384094,Sakshi,Kadapa Steel Plant,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,Kadapa Steel Plant,0,0,0,0
NBmK35CrA2s,2023-02-16,63.0,21.0,8652.0,-0.9964973330497742,TV5,Kadapa Steel Plant,1,0,0,0
Az2QzZNSMz8,2022-12-24,92.0,9.0,3313.0,-0.9993797540664672,ABN,Kadapa Steel Plant,0,0,0,0
giB1--UO0Yg,2023-02-15,171.0,3.0,1069.0,0.9849525094032288,TV5,Kadapa Steel Plant,0,0,0,0
uPSZMAIgYzw,2022-12-28,250.0,0.0,1538.0,0.9935330152511596,Sakshi,Kadapa Steel Plant,0,0,0,0
JG_fs16jxE0,2023-04-10,305.0,2.0,2095.0,-0.999387502670288,TV5,Kadapa Steel Plant,0,0,0,0
Bnc9-5gydVA,2023-04-11,55.0,1.0,6393.0,-0.964355766773224,ABN,Kadapa Steel Plant,0,0,0,0
aDWK0IyjgEE,2023-02-12,69.0,2.0,504.0,-0.9994924068450928,TV9,Kadapa Steel Plant,0,0,0,0
KzD3MgOHLHI,2023-04-17,169.0,4.0,2751.0,-0.9973481893539428,TV9,Kadapa Steel Plant,0,0,0,0
vT6GOJj8F3Y,2023-03-09,340.0,0.0,436.0,-0.9874337315559388,ABN,Kadapa Steel Plant,0,0,0,0
RGIldLGOtRY,2023-04-19,285.0,1.0,4658.0,-0.9935818910598756,TV5,Kadapa Steel Plant,1,0,0,0
jh-01bPtL-0,2020-03-09,241.0,0.0,583.0,0.9984196424484252,Sakshi,Kadapa Steel Plant,0,0,0,0
fu8oYDEWY8o,2023-04-01,106.0,1.0,1117.0,-0.9992095232009888,TV9,Kadapa Steel Plant,0,0,0,0
NYSsgPEY3p0,2023-02-15,16.0,411.0,126479.0,-0.9924269914627076,ABN,Kadapa Steel Plant,0,0,0,0
jolrhIWyweo,2022-09-29,160.0,0.0,400.0,0.9974997639656068,TV5,Kadapa Steel Plant,0,0,0,0
C1yLBr24cLs,2023-02-15,90.0,31.0,18752.0,-0.9978251457214355,TV5,Kadapa Steel Plant,0,0,0,0
V8zDF5Cxhxc,2023-02-18,333.0,4.0,3147.0,-0.9955158829689026,TV5,Kadapa Steel Plant,0,0,0,0
P9h9-KNKyjo,2023-03-23,330.0,129.0,73769.0,0.9902026653289796,TV5,Kadapa Steel Plant,0,0,0,0
8sRs0bHnaEA,2022-10-18,291.0,4.0,4685.0,0.9983772039413452,TV5,Kadapa Steel Plant,0,0,0,0
j_f_i8Gu0VE,2023-02-25,349.0,7.0,1016.0,-0.9994908571243286,TV9,Kadapa Steel Plant,1,0,0,0
92lVm_9qnmI,2021-02-20,185.0,1.0,479.0,0.994944989681244,Sakshi,Kadapa Steel Plant,0,0,0,0
IyFKXccu-Ic,2023-04-18,305.0,6.0,4008.0,-0.9985474944114684,TV5,Kadapa Steel Plant,1,0,0,0
S5Z4I7PKmOU,2023-04-13,260.0,40.0,9824.0,0.997646152973175,TV9,Kadapa Steel Plant,0,1,0,0
ifTmC6_dq7w,2023-01-07,204.0,10.0,1428.0,-0.9977276921272278,ABN,Kadapa Steel Plant,0,0,0,0
VJkXptSMjbE,2023-04-11,219.0,3.0,35194.0,-0.9984394907951356,TV9,Kadapa Steel Plant,0,0,0,0
ymtL0_S776g,2022-09-16,80.0,3.0,3207.0,-0.9864113926887512,TV5,Kadapa Steel Plant,0,0,0,0
zmN7f7xNRgE,2022-11-11,160.0,3.0,2725.0,-0.9784048199653624,Sakshi,Kadapa Steel Plant,0,1,0,0
lD1VRyi7xu8,2023-04-11,100.0,8.0,2507.0,-0.992205798625946,ABN,Kadapa Steel Plant,0,0,0,0
LYk571W1dHE,2022-09-10,280.0,19.0,4183.0,-0.9862646460533142,TV5,Kadapa Steel Plant,0,0,0,0
vCAftSYA2bg,2022-12-23,170.0,1.0,413.0,-0.9792732000350952,ABN,Kadapa Steel Plant,0,0,0,0
qQSvI329U2A,2023-04-10,255.0,2.0,3118.0,-0.9905067086219788,ABN,Kadapa Steel Plant,0,0,0,0
zholenNi8CQ,2023-02-16,59.0,20.0,9795.0,0.9984411597251892,Sakshi,Kadapa Steel Plant,0,0,1,0
2CAaIt7dlEA,2022-10-18,230.0,11.0,2386.0,-0.99510395526886,ABN,Kadapa Steel Plant,1,0,0,0
nd9kPQugdGQ,2023-03-27,187.0,20.0,3153.0,-0.9892237782478333,Sakshi,Kadapa Steel Plant,0,0,0,0
dwOGpiVEBRk,2023-03-13,120.0,1.0,1020.0,-0.99848610162735,TV9,Kadapa Steel Plant,0,0,0,0
lLI2WZNXMSg,2023-04-15,48.0,0.0,696.0,0.9972979426383972,TV9,Kadapa Steel Plant,0,0,0,0
7tfJXODEYuQ,2022-12-23,236.0,7.0,58215.0,-0.9978710412979126,TV9,Kadapa Steel Plant,0,0,0,0
zasvLgTprZQ,2022-10-23,314.0,1.0,1183.0,0.9982607960700988,TV5,Kadapa Steel Plant,0,0,0,0
E4ci2fIRVJ4,2023-02-15,223.0,5.0,1373.0,0.9849004745483398,TV9,Kadapa Steel Plant,0,0,1,1
NVJIFbh0_bE,2023-01-11,165.0,2.0,3112.0,0.997438669204712,TV9,Kadapa Steel Plant,0,0,0,0
KOmfhpXrjCc,2023-02-15,304.0,0.0,2218.0,-0.9854795336723328,TV9,Kadapa Steel Plant,0,0,1,0
kW60ea1GePA,2023-01-05,316.0,19.0,4831.0,0.9801733493804932,ABN,Kadapa Steel Plant,0,0,0,0
Ya2oTPToyKk,2023-03-28,83.0,2.0,1754.0,-0.9453631639480592,TV9,Kadapa Steel Plant,0,0,0,0
wJyEvwiNXLE,2023-02-13,329.0,3.0,3052.0,-0.9910474419593812,Sakshi,Kadapa Steel Plant,0,0,0,0
bQCrM69hjvM,2023-03-24,272.0,1.0,768.0,-0.987585186958313,TV5,Kadapa Steel Plant,0,0,0,0
AswcjfI4BQQ,2023-01-28,275.0,3.0,6139.0,0.9961950778961182,TV5,Kadapa Steel Plant,0,0,0,0
kgMIijFg_j4,2023-02-15,250.0,0.0,1690.0,0.9949471354484558,ABN,Kadapa Steel Plant,0,0,0,0
vbhBi37F1K8,2022-12-05,208.0,8.0,9539.0,-0.9971676468849182,TV5,Kadapa Steel Plant,0,0,0,0
9k-9PZXkTVU,2023-04-10,205.0,8.0,4760.0,-0.9982250332832336,ABN,Kadapa Steel Plant,0,0,0,0
bWLl1lKScfA,2022-12-03,340.0,14.0,9839.0,0.998205542564392,TV5,Kadapa Steel Plant,0,0,0,0
IeqzxwlMMqE,2023-02-15,428.0,3.0,1846.0,0.9974784255027772,TV9,Kadapa Steel Plant,0,0,0,0
dHGj2MavTsw,2023-03-02,175.0,3.0,567.0,0.99305659532547,TV5,Kadapa Steel Plant,0,0,0,0
myQOgFgwFtg,2023-02-15,248.0,4.0,2012.0,-0.6829584240913391,TV9,Kadapa Steel Plant,0,0,1,1
ZUmNogVia7k,2023-02-15,132.0,0.0,1393.0,0.99824059009552,TV9,Kadapa Steel Plant,0,0,1,0
p1Y_-6GcOfs,2022-11-27,212.0,4.0,1762.0,-0.9862337112426758,TV9,Kadapa Steel Plant,0,0,0,0
HQSIKXbpMV4,2022-10-30,127.0,1.0,950.0,-0.993311643600464,TV5,Kadapa Steel Plant,0,0,0,0
APK6b5WsCxI,2022-03-14,157.0,102.0,9853.0,0.9794672131538392,Sakshi,Kadapa Steel Plant,0,0,0,0
GP-vsJv9OJQ,2022-12-29,68.0,3.0,2697.0,0.9939590692520142,TV9,Kadapa Steel Plant,0,0,0,0
IhC4kj7Tkzw,2023-02-08,286.0,0.0,469.0,0.9970130920410156,TV9,Kadapa Steel Plant,0,0,0,0
i1LZ-OYn2ko,2023-04-13,169.0,6.0,1280.0,-0.9981210827827454,TV5,Kadapa Steel Plant,0,0,0,0
Zmg2C8nv_MM,2021-02-20,165.0,2.0,2377.0,0.9843701124191284,Sakshi,Kadapa Steel Plant,0,0,0,0
NYIilyxQxbk,2023-02-15,275.0,17.0,8034.0,-0.9994122982025146,ABN,Kadapa Steel Plant,0,0,0,0
LSQAZ02UJRQ,2021-12-13,149.0,104.0,11362.0,-0.9970865845680236,Sakshi,Kadapa Steel Plant,0,0,0,0
