ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tenali.png,kodur.png,pulivendula.png,Venkata_Mahesh.png,myalavaram.png
NOrce0pIUKM,2022-12-09,150.0,6.0,1993.0,0.9966277480125428,TV5,Devineni Uma,0,0,0,0,0
KZX9EuD0_OQ,2022-12-01,340.0,24.0,14912.0,-0.9905717372894288,TV5,Devineni Uma,0,0,0,0,0
my27VKpC8GM,2023-04-18,301.0,0.0,2359.0,-0.9894830584526062,TV9,Devineni Uma,0,0,0,0,0
4jHkYh-Ut4o,2023-01-09,142.0,0.0,582.0,-0.9975070357322692,ABN,Devineni Uma,0,0,0,0,0
uwzL1Z87nZ4,2022-11-19,70.0,0.0,1744.0,0.9977371692657472,TV5,Devineni Uma,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,Devineni Uma,0,0,1,0,0
MeXwJdJ-1O4,2023-04-11,141.0,3.0,1588.0,-0.9975517392158508,TV9,Devineni Uma,0,0,0,0,0
NxBW_rnX_9k,2022-10-14,75.0,0.0,720.0,0.9912817478179932,TV5,Devineni Uma,0,0,0,0,0
91lYm6qEEUI,2022-12-28,227.0,3.0,67046.0,-0.9974914789199828,TV9,Devineni Uma,0,0,0,0,0
SCYaPdpDEok,2022-11-09,80.0,1.0,2200.0,-0.9895328283309937,TV5,Devineni Uma,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Devineni Uma,0,0,0,1,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,Devineni Uma,0,0,0,0,0
exyaLF4_YTA,2022-11-25,218.0,8.0,28606.0,-0.9941347241401672,TV9,Devineni Uma,0,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,Devineni Uma,0,0,0,0,0
qchdj2YqKvY,2021-02-15,191.0,0.0,2025.0,0.9966338276863098,Sakshi,Devineni Uma,0,1,0,0,0
ED5Orc1IQsk,2023-04-21,189.0,1.0,2556.0,-0.9975226521492004,TV5,Devineni Uma,0,0,0,0,0
qnSxllO1SQE,2019-12-26,143.0,0.0,452.0,0.9781021475791932,Sakshi,Devineni Uma,0,0,0,0,0
EG1unTlUZ2E,2022-12-19,765.0,0.0,776.0,0.9934349060058594,ABN,Devineni Uma,0,0,0,0,0
Kfcy8hd21hk,2022-12-19,219.0,9.0,144843.0,-0.9909446239471436,TV9,Devineni Uma,0,0,0,0,0
7uZNzlxSEwE,2023-02-20,192.0,15.0,3644.0,0.9867687821388244,TV9,Devineni Uma,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Devineni Uma,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Devineni Uma,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,Devineni Uma,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,Devineni Uma,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,Devineni Uma,0,0,0,0,0
TCfdYByFcus,2023-01-11,345.0,1.0,2691.0,-0.9991796612739564,ABN,Devineni Uma,0,0,0,0,1
SMIfoH6dUE8,2023-01-13,224.0,1.0,4316.0,-0.9923715591430664,TV9,Devineni Uma,0,0,0,0,0
hfMyioXUEh4,2023-01-05,177.0,5.0,49964.0,-0.985933482646942,TV9,Devineni Uma,0,0,0,0,0
mzhOS3gXHvE,2022-10-17,253.0,52.0,10896.0,-0.982958734035492,Sakshi,Devineni Uma,0,0,0,0,0
s7x19QPQZc0,2023-03-12,264.0,0.0,586.0,0.9973426461219788,TV9,Devineni Uma,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,Devineni Uma,0,0,0,0,0
CgSm6ZNaHZA,2022-07-09,290.0,84.0,140439.0,0.9978156089782716,Sakshi,Devineni Uma,0,0,0,0,0
Ips_DSXk_es,2023-02-12,55.0,0.0,2175.0,-0.995183765888214,TV9,Devineni Uma,0,0,0,0,0
P9N_bqbVLyU,2022-09-13,75.0,0.0,1052.0,-0.9837819337844848,TV5,Devineni Uma,0,0,0,0,0
mzCRHsU7OfA,2023-01-19,745.0,3.0,2625.0,-0.9976471066474916,ABN,Devineni Uma,0,0,0,0,0
NeCyJgcd11A,2022-08-22,3818.0,0.0,5037.0,0.9930866360664368,TV5,Devineni Uma,0,0,0,0,0
BVGKJQaKeYI,2023-04-09,154.0,0.0,1343.0,-0.9848905205726624,TV9,Devineni Uma,0,0,0,0,1
ziPsYMy5UiM,2023-03-14,68.0,135.0,181720.0,0.9974414110183716,TV5,Devineni Uma,0,0,0,0,0
2xkMoGZmG14,2023-04-12,270.0,1.0,473.0,-0.9911967515945436,TV9,Devineni Uma,0,0,0,0,0
